,0
0,302.8346125232056
1,3144.2558129061945
2,1824.180925684981
3,3042.684606194962
4,-1204.2871820060536
5,-2778.4140920687933
6,4720.319416095503
7,4510.349043854745
8,6873.954383835895
9,16880.8036372466
10,-15040.734376794426
11,7317.407112975139
12,-581.7404382470995
13,7617.234208153794
14,-7480.178464662749
15,3461.9499250461813
16,20862.905913239112
17,-4336.981498558773
18,8101.59095439082
19,10982.620052111335
20,13132.067837687675
21,1029.6541095415596
22,-17506.547365586273
23,-6710.533135514008
24,-4068.985041999491
25,23911.742907688254
26,4014.1437162226066
27,-6727.446415578015
28,25817.365898868535
29,-519.443839450134
30,5394.028374291258
31,-10845.657406985527
32,12521.095447663218
33,5642.272657788824
34,-1685.0365648115985
35,-1321.00563100609
36,-5183.440319330199
37,6489.443353975657
38,-13973.723091595806
39,-2416.841725904029
40,-9442.497373551596
41,-11360.056938477559
42,-1014.2003029803745
43,-3059.1852112095803
44,-24251.646892030956
45,10020.196506452514
46,-4344.807206599275
47,13700.575752913952
48,-4671.845655576792
49,-676.5951831017155
50,-2224.8310563685372
51,12019.09305222705
52,-34870.63047231431
53,4246.742441348964
54,2939.537513672607
55,2203.5708487525117
56,4327.235086367466
57,16291.957227663836
58,24249.008783955127
59,-11601.74876153958
60,-1533.530640105484
61,0.0
