,0
0,237.83299552020617
1,2108.173709361814
2,959.6108551642392
3,-544.5007566688582
4,3030.083178739529
5,833.1032304097898
6,463.2623863175977
7,406.803825618932
8,767.5785958000924
9,-2208.6982108948287
10,-721.6898928117007
11,-1039.1999656390399
12,2196.1787423673086
13,3076.9820258489344
14,571.9594750471879
15,-1272.9941229682881
16,-2566.4470058479346
17,536.8757123670075
18,-2916.5301327221096
19,-633.0466085523367
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,-165.13106742990203
35,552.9921037924942
36,1571.8829706432298
37,134.4732356213499
38,989.8430701002944
39,-2901.648479795549
40,-438.87457830947824
41,0.0
42,-169.6584891343955
43,311.22494645626284
44,-788.0463338417467
45,604.3724739225581
46,616.9470024742186
47,-266.4482651997823
48,0.0
49,0.0
50,0.0
51,328.8641087815631
52,-133.6053024858702
53,603.1048351370264
54,-189.1102719611954
55,-1907.446089338744
56,-455.6577706395183
57,-1331.2382728795055
58,-267.2603694219142
59,-269.9352572760545
60,0.0
61,0.0
