,0
0,5412.036292212899
1,620.2373270159587
2,18733.10350942018
3,7388.568455858505
4,8989.01119314367
5,695.8862755654845
6,10189.56252992549
7,1301.5624446966685
8,3095.288063231623
9,822.5437774928287
10,4806.241303904913
11,-7067.871063600294
12,4509.165217334405
13,-2993.6989734466188
14,3844.256066045258
15,-463.6462861977052
16,-2987.6518809990957
17,-133.22205253434367
18,-4212.883327808464
19,-7383.379206479061
20,2221.3693652071524
21,-725.339572426863
22,12669.391441395273
23,-83.16182392952032
24,6.120613468345255
25,-3043.490143830655
26,7019.327781943837
27,-3071.52793395333
28,6205.347877642605
29,-4793.713472345844
30,-318.1709979530424
31,384.4624446632806
32,-2813.9125197802205
33,-973.2253367642406
34,1920.886088349158
35,-4722.2414537521545
36,-461.6068490711041
37,-3189.1391488297377
38,7308.420534391655
39,-6153.465496050194
40,-4261.708544517634
41,-33.856217657681555
42,5393.676343044266
43,4378.813638288062
44,1222.6202219440602
45,-1435.6967309240717
46,-24937.50004879036
47,14778.698873991845
48,-16720.65199398552
49,-5414.448786908295
50,8177.310307789128
51,-7021.576285461197
52,3118.303799321875
53,-80.30809538206086
54,12064.44401505799
55,5418.240523175802
56,-9385.688536793226
57,-8935.773932534037
58,9530.575199111365
59,8716.04869658663
60,-9183.542147794971
61,9949.956484038616
