,0
0,1000000.0
1,999986.7380081367
2,1001775.5399742732
3,1002343.5577735298
4,1002384.188411394
5,995813.5135728009
6,998529.4343106126
7,995670.7687435709
8,995226.7487342707
9,997390.0465791097
10,998579.7330388245
11,1003293.6941569101
12,999731.4572362086
13,1001700.960962517
14,1001629.5938342726
15,1006434.2275370336
16,1007185.9177004213
17,1000572.6958232394
18,1005988.416074632
19,1014136.553330621
20,1014589.0878327929
21,1019880.3518516286
22,1022532.3577235432
23,1020691.5829271853
24,1020722.7663979494
25,1019081.7298240054
26,1028473.1581978842
27,1031862.7099995221
28,1028968.5877616318
29,1039614.7321138624
30,1041172.6689472524
31,1043624.4360295867
32,1037174.6089769423
33,1034955.3694686863
34,1038312.8304089034
35,1042678.1294639062
36,1038501.6819849149
37,1039952.3167018972
38,1029037.9544561472
39,1036937.904984419
40,1032614.5068708553
41,1015148.1192056014
42,1020233.7662783224
43,1038142.7679003833
44,1035929.0516177919
45,1026487.3801842531
46,1014934.9921155078
47,1029081.1152062119
48,1015433.6572399687
49,1022877.2213632143
50,1031431.0181162301
51,1018238.93654294
52,995289.8940682864
53,996446.9909367962
54,981308.7275179797
55,988730.0412820192
56,994191.4413334416
57,1003174.2535212337
58,997461.0054742611
59,1005820.7525124972
60,1000590.8059859142
61,1003438.5374510813
62,1013530.3408283116
63,1019441.51266478
64,1028920.2570573294
65,1025389.3826256805
66,1037968.9915998783
67,1035086.0803876803
68,1041487.4238809741
69,1039457.7383162136
70,1035098.0300674814
71,1032803.7284275603
72,1029694.7445924962
73,1031909.5911380203
74,1030372.4386623866
75,1031184.2013506085
76,1030688.5461049062
77,1027671.1188465332
78,1026455.9849593334
79,1029383.5992292463
80,1024143.3479515507
81,1039200.1858232031
82,1043139.696188002
83,1041300.0000234572
84,1035247.5468789082
85,1030463.9914080875
86,1035904.8568198391
87,1031787.8285105358
88,1033936.6736901138
89,1046121.7312366065
90,1039961.6906773852
91,1027228.0486421639
92,1027673.0987250836
93,1022975.953805291
94,1020273.940559578
95,1012552.1604183754
96,1020539.9020463467
97,1023125.7916298469
98,1021663.000538026
99,1004396.9804740647
100,1008196.5709492138
101,1010704.3996883141
102,1006717.1405343754
103,1010650.8345727597
104,1020955.1097729445
105,1023069.2501377604
106,1022678.8956374669
107,1034820.5902966557
108,1044881.127082654
109,1046587.787156009
110,1046308.4774410941
111,1049852.6724157087
112,1055633.370314501
113,1062784.3952670493
114,1074611.6666798897
115,1074406.2515530484
116,1058752.6610846003
117,1059052.4046498598
118,1056082.2312270955
119,1052991.809460634
120,1054184.8564111646
121,1046497.650591826
122,1038689.8787963806
123,1042642.9106490919
124,1037575.3328109838
125,1027480.611615586
126,1032151.8362736626
127,1022852.6207313442
128,1012527.3025926843
129,1013833.5984959353
130,1035008.2253013743
131,1043391.746461742
132,1050969.4723000252
133,1043328.936216548
134,1054340.1289536066
135,1068683.7739859682
136,1074985.2825844032
137,1077044.4961503013
138,1085321.4732387504
139,1075052.8154799382
140,1081777.6609050846
141,1091441.471939851
142,1089625.5113436123
143,1092698.9089794105
144,1087684.3624761933
145,1082107.9129335352
146,1085882.8522339808
147,1086410.8679006165
148,1087923.9961015708
149,1093687.2144625993
150,1079777.516154321
151,1093398.6875428697
152,1090351.4453792511
153,1085422.0225718683
154,1089607.617916239
155,1091676.7717347364
156,1098154.6330638796
157,1100725.9410369026
158,1101661.3821161478
159,1090786.974160497
160,1102133.806576346
161,1108251.88989263
162,1109733.0421946784
163,1113338.8468021997
164,1116998.87437251
165,1118230.7597914417
166,1114442.9496401497
167,1107226.9700821785
168,1104964.4921241454
169,1106080.2471116039
170,1120636.0365180853
171,1123046.8437617568
172,1120340.734588497
173,1107137.3817559197
174,1103481.1407158766
175,1105488.6171589643
176,1115263.372910896
177,1112748.128015612
178,1126932.8972602016
179,1128246.3027162119
180,1138169.523034364
181,1146397.1503307964
182,1152131.8748828939
183,1158517.2002242852
184,1156682.984429212
185,1155151.8287544358
186,1162675.1343571548
187,1152675.7445932543
188,1153807.9760824025
189,1152016.0263368145
190,1156709.8221109768
191,1155982.052606968
192,1155844.9203344728
193,1152732.7350686798
194,1140695.0883320607
195,1144515.659166534
196,1156746.9474376668
197,1151972.87009782
198,1159906.216195806
199,1163620.4953884217
200,1167836.5221716398
201,1150064.3694033737
202,1122317.9426824548
203,1130817.1873980036
204,1129598.2635204117
205,1108488.956706154
206,1115987.132092608
207,1103185.1251755666
208,1084207.72968307
209,1089266.5666046145
210,1086286.2925197228
211,1102661.3587045497
212,1118543.1870340004
213,1124957.3785670493
214,1136341.2223895665
215,1135306.5334619856
216,1138016.3871220194
217,1142587.8494801808
218,1142426.9852059062
219,1135825.708176268
220,1139905.9906905792
221,1135112.600009866
222,1144093.402824848
223,1138251.8112782289
224,1138724.4498668616
225,1146486.0413867612
226,1150970.9636342602
227,1141774.1801345185
228,1160257.6568125999
229,1156040.9159314316
230,1163595.7578203722
231,1163978.5754291934
232,1161072.1996976603
233,1153774.5524694228
234,1152830.3769042338
235,1133262.8429440162
236,1130134.6877253328
237,1141624.6374503113
238,1146177.6067387685
239,1137178.4860885253
240,1144636.8749478476
241,1140977.070407508
242,1139537.83865917
243,1146850.5027109447
244,1139375.343029212
245,1139219.6997350259
246,1146582.702050309
247,1150587.6940049338
248,1162306.7256583092
249,1163640.3005896634
250,1164953.786529151
251,1151340.385735603
252,1130944.366499447
253,1130301.5188887818
254,1150252.1800958898
255,1121732.1478130287
256,1112885.8375402864
257,1124176.2430329828
258,1129671.5298624497
259,1143058.7104347004
260,1147729.8654034368
261,1151567.6081677007
262,1154150.7727189232
263,1160407.946623231
264,1170654.8570883437
265,1164797.7334152088
266,1167964.4752435333
267,1177129.9599410768
268,1177171.3071691354
269,1172450.2035106444
270,1174847.2938883044
271,1183972.670812572
272,1173385.2677860563
273,1180969.6080297271
274,1181181.3331511132
275,1182723.4851980822
276,1193238.6618024958
277,1194805.9841271688
278,1191408.331053891
279,1177334.659406726
280,1178984.4952683514
281,1183628.743217709
282,1170948.6990651991
283,1181994.920449061
284,1184677.56704555
