,0
0,-2702.104421885684
1,3007.9793018819764
2,-3268.50390681671
3,2847.040540602291
4,-4961.171276027104
5,-7019.235283449758
6,-11490.564263187349
7,9620.1416661127
8,-3396.340466665104
9,-5632.352849033894
10,9403.022009447683
11,-2350.799176112283
12,16904.63584893942
13,25942.244427986676
14,-276.99493893794715
15,-3801.1621546999086
16,-4036.447104540188
17,2573.7649628049694
18,-1293.9522419108544
19,-142.6261468701996
20,-42.9891028762795
21,369.3825612301007
22,744.3366409013979
23,-272.42153857275844
24,0.0
25,0.0
26,-173.91551963542588
27,-80.83903426467441
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,18.18938815803267
34,219.11317857145332
35,-150.64258125098422
36,78.97853063093498
37,-722.8021375648677
38,122.81123077333905
39,960.2584074554034
40,1106.07463424257
41,-135.91929441760294
42,-661.231968191918
43,1031.914209989598
44,-544.9356237575412
45,689.8837288718205
46,-1592.408011032967
47,2699.17628503358
48,1253.8468850578647
49,-1549.1535910863895
50,-2321.717285401188
51,4852.454690975137
52,-3451.3750684694387
53,276.3606252965983
54,-1566.5447377671953
55,3162.260325311683
56,-328.70357190212235
57,-6518.394769731909
58,5003.505597129464
59,-9558.863987561781
60,6235.437072252622
61,3931.3090192079544
