,0
0,1000000.0
1,1000568.6241852702
2,1001270.48964745
3,1001968.7416618997
4,1001916.8031281076
5,998848.2184801826
6,1001234.682960399
7,998615.9203209521
8,995563.1467366285
9,996270.6092171231
10,996086.6071316658
11,999660.1420983691
12,1000859.8011547204
13,1003990.876843824
14,1005242.7139772852
15,1007981.5814432718
16,1008832.7289625703
17,1004058.6533921649
18,1008938.0149050483
19,1012947.0624794369
20,1013884.1057334887
21,1017342.6499478074
22,1018658.4563503694
23,1016911.203615786
24,1018500.645512444
25,1018343.1647835167
26,1025580.1098804162
27,1029164.5258994799
28,1024899.840065392
29,1034395.8408957856
30,1034188.908021249
31,1038363.3459575832
32,1032343.4191391121
33,1033420.4115896183
34,1035040.1460451144
35,1040796.8028880777
36,1033403.1135503863
37,1037816.737071895
38,1021584.514161329
39,1032322.6353882957
40,1025298.8599905564
41,1014092.0506483716
42,1019755.2666946076
43,1035091.330040125
44,1038446.3272767266
45,1030375.3510781659
46,1021515.5321860753
47,1034296.1830607025
48,1028409.5739018344
49,1035616.7813715384
50,1044641.2901138415
51,1028917.4204593813
52,1004189.0638038436
53,1008740.1113948367
54,996546.3345707884
55,1001779.0760563569
56,1012335.971926666
57,1023280.826072632
58,1016144.9538383835
59,1020911.3181738454
60,1016163.7854227016
61,1021501.282276498
62,1032395.126565197
63,1036850.4340071204
64,1044639.3335719163
65,1045823.5332406247
66,1057758.9989273036
67,1040295.0256781013
68,1052331.806868425
69,1046374.3127795678
70,1049321.357422036
71,1064815.3465456807
72,1067852.9939509677
73,1070194.3784180186
74,1074725.02146836
75,1068903.0671622728
76,1072659.5048320952
77,1068867.4181115592
78,1064503.3808598453
79,1061777.7917356517
80,1057517.7201323218
81,1067693.4289676938
82,1067628.7974000252
83,1064673.449216431
84,1059229.0501477788
85,1055782.5278437212
86,1052488.8438747434
87,1047406.6477149643
88,1043073.1277312809
89,1051053.2141449403
90,1040967.3235180696
91,1026807.914471034
92,1024419.4696867948
93,1024216.108986705
94,1025600.9767991111
95,1017593.5651833527
96,1022740.6270528653
97,1030269.0246397812
98,1025440.8403607933
99,1014627.3784835443
100,1020848.5652212512
101,1029233.3954494606
102,1024125.1155689069
103,1023734.6970935579
104,1034443.2885518181
105,1037444.8680030691
106,1032897.856108447
107,1038883.4485579632
108,1048111.2076962533
109,1054751.0405247216
110,1063055.0200806959
111,1070989.4277253863
112,1089517.879456856
113,1095985.7698727488
114,1104976.050328896
115,1103541.7271808416
116,1090209.6531397009
117,1097038.9950417886
118,1094879.3458814595
119,1089945.163191841
120,1094670.2045442406
121,1086272.258674454
122,1076451.9891412267
123,1082191.0085015222
124,1080628.3997268185
125,1065811.9736504173
126,1072199.2986354618
127,1069061.8560713953
128,1054811.18868765
129,1051213.9221624844
130,1073440.8528914778
131,1075929.96194451
132,1082746.9472336522
133,1073774.7293497731
134,1090831.7976049378
135,1103775.960942685
136,1107818.7406811446
137,1107192.2002262832
138,1116014.032422381
139,1131262.8138316371
140,1130345.1452370496
141,1139360.1581680293
142,1135151.5763254825
143,1140551.4982960876
144,1133501.556786618
145,1135121.806810293
146,1140459.346302202
147,1143316.843773715
148,1141621.2066287328
149,1151103.4988060226
150,1139145.226443318
151,1149922.734019406
152,1145037.2831425485
153,1142722.2412664278
154,1147948.5315776127
155,1152033.7899246775
156,1156787.9757331412
157,1165798.3446963513
158,1162363.7443351643
159,1149143.395731424
160,1156284.5159245406
161,1166579.4420861232
162,1155875.5102152235
163,1158967.0166149193
164,1156838.2950189481
165,1153988.6163081077
166,1150734.2291028947
167,1145943.783547233
168,1139899.427849666
169,1135014.122938754
170,1149855.7412381722
171,1151522.0235002271
172,1146458.003169763
173,1135109.67515223
174,1129444.236958457
175,1126129.0285354205
176,1132701.3367632676
177,1127306.8415001445
178,1141987.3456618525
179,1143637.3898906363
180,1149055.279669438
181,1151198.0751837816
182,1156220.3634172073
183,1165408.9406339256
184,1161782.3348482854
185,1157652.7625342656
186,1160696.8540202898
187,1156206.471468684
188,1156540.8762253278
189,1159311.8827966244
190,1174530.5588011537
191,1168468.789144202
192,1168131.4251815926
193,1162211.012912052
194,1149214.854791149
195,1148532.7704094897
196,1158387.2292550174
197,1155898.1584339568
198,1155185.3841878797
199,1156490.16315735
200,1162213.236506391
201,1152059.784434663
202,1129467.7163643008
203,1131664.3897091355
204,1129438.2899399977
205,1108241.8671411818
206,1102888.6161353649
207,1092812.3626027626
208,1069269.8819470122
209,1069844.8856525973
210,1067535.4412686662
211,1076742.5232714391
212,1094112.802033112
213,1092427.8555494742
214,1111329.6750058692
215,1105206.2139474913
216,1111245.0060057275
217,1111012.6263063059
218,1107079.4904068687
219,1106296.4962403006
220,1123704.0919423518
221,1111271.6826196176
222,1113064.3982175933
223,1106899.20440765
224,1108111.7652147973
225,1124602.2789185487
226,1127012.501951058
