,0
0,-21678.00559412106
1,1630.7699111506809
2,19151.95223471569
3,-9713.09938359796
4,15435.841861597262
5,-10769.970808719052
6,9444.283734926023
7,10403.894170213956
8,-2318.1968600796536
9,-7232.892722956836
10,-1266.0451689595357
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,499.90871187020093
29,-107.46338817803189
30,-429.2879209241364
31,3555.157295718789
32,-1685.8419110770337
33,144.01787631842308
34,-1025.5615082588047
35,-737.4633846068755
36,-5613.523506887956
37,5109.0421039578505
38,-4515.1672234262805
39,2675.6289434896316
40,3592.6781022439245
41,-564.0208781978581
42,6138.670015875017
43,1692.6645588343963
44,731.4567378563806
45,-275.7874403675087
46,-213.3472245533485
47,-4630.441559754079
48,-2289.5466694179922
49,-2124.5229129425716
50,-4120.915877348511
51,-10442.480189518537
52,-797.5461740423925
53,-10474.807055765763
54,4763.032331016846
55,-17360.527750096284
56,2132.782987373881
57,-9057.198116874555
58,7912.60288465349
59,6061.245323748328
60,-1251.6195886745118
61,0.0
