,0
0,-7252.902833947563
1,4933.656129375915
2,-211.60266204189975
3,-1515.7474081419641
4,7390.051826401614
5,-11938.017285622074
6,-1230.778773232014
7,-4015.575929348124
8,2350.520956145716
9,-2415.083312550676
10,21512.675690749777
11,3550.7815206127707
12,2122.288569085067
13,3690.684272822924
14,3314.5615574920084
15,-8402.59265752125
16,-3800.224692805321
17,1411.7738715739688
18,-6619.28374144074
19,105.00065787089989
20,-4937.953087370261
21,-2987.9026664634002
22,-3629.3946134984726
23,-2340.0408952838043
24,21385.793315320276
25,2268.7352825223934
26,6560.840566958184
27,16401.831800407614
28,-551.7258211686276
29,10426.457080703229
30,2969.654640028719
31,-4262.74306146591
32,669.673209332861
33,-3315.9442877133843
34,6826.684281852096
35,6874.438297465444
36,2435.822560986271
37,369.66204272862524
38,-2106.3669776665047
39,8919.863397949142
40,8657.068033052608
41,8202.663479460636
42,-3991.556410101708
43,-2162.6683814087883
44,97.96796696283855
45,15702.323746468173
46,2813.238950361032
47,8531.295904922299
48,2028.9454360429663
49,3934.0644460082985
50,-7363.27630471997
51,5782.61001910991
52,6245.660055914661
53,94.60305384290405
54,2347.406600453425
55,-261.3682452866342
56,-165.09107339871116
57,906.8969119836111
58,-912.0694865735713
59,-7696.002409633249
60,-2459.563095418969
61,-4375.694109283155
