,0
0,1000000.0
1,1000561.0472173092
2,1000811.6839251894
3,1001309.6307083222
4,1001384.8335797264
5,995935.153179971
6,998290.9479139678
7,994761.0312461848
8,992311.8140833597
9,997059.1183940432
10,998933.9027246861
11,1004345.0633426713
12,1004130.4837243338
13,1004535.8457284258
14,1005183.9658191206
15,1007229.9543597418
16,1008057.7542902988
17,1003795.5415705009
18,1008888.0519068679
19,1015021.5660311402
20,1016227.929972376
21,1018767.0843176751
22,1019833.1674565566
23,1017048.685688692
24,1017126.1227488796
25,1017697.5986777626
26,1022315.1539450502
27,1024170.981479802
28,1020351.9662210693
29,1025861.9855131742
30,1026151.0640199275
31,1030186.0482834242
32,1027983.6362874208
33,1024959.5999426421
34,1026221.6886579376
35,1031612.1426923414
36,1029052.7303721424
37,1033044.37725072
38,1022620.8095233348
39,1029954.3967694249
40,1022847.1014812725
41,1009636.3883471286
42,1016639.4032137588
43,1030252.444403964
44,1028275.7185346062
45,1020714.4078042115
46,1012069.0332096783
47,1021873.5837111245
48,1012924.3658422662
49,1018505.5329148248
50,1026376.1249324513
51,1013358.3405762607
52,989547.9417136173
53,988616.5031177967
54,976248.4392691911
55,985715.9590540278
56,992571.9190799483
57,1001720.4023360321
58,994124.7804308988
59,996689.7833912793
60,994571.8657919662
61,996885.0493390936
62,1008535.5324023095
63,1014591.2958150159
64,1020075.1220569919
65,1017129.3849351304
66,1026306.4373338912
67,1030071.3731074675
68,1035142.5003693743
69,1030617.4641254353
70,1031254.5969212453
71,1034438.0625474337
72,1030012.2728002041
73,1033839.525361276
74,1034357.6485623023
75,1033809.8869294847
76,1036317.4528573285
77,1034264.1224913527
78,1028952.7730609785
79,1027479.2322035207
80,1026266.8478668155
81,1037712.787677195
82,1039177.2279941427
83,1038508.6515713808
84,1027016.4845019637
85,1020079.9854724188
86,1023685.0773587625
87,1021838.1639664946
88,1022004.2652882026
89,1026269.9080740861
90,1020729.4656530273
91,1008341.5375875836
92,1006324.6485327261
93,999345.1576431912
94,999115.4226451096
95,993889.8666835076
96,998818.2066728203
97,1002309.652994988
98,999550.9888373348
99,986553.2543427519
100,989205.1772124071
101,989897.1895737294
102,987534.8186676723
103,990494.1629673964
104,994267.4260769516
105,996738.0433141507
106,994784.4741420896
107,1004881.8324107489
108,1014558.7274843171
109,1022305.4487616178
110,1019921.5210384013
111,1024742.1961036207
112,1029804.1567583821
113,1033094.6939753732
114,1043186.1030055832
115,1043646.7403097769
116,1034115.4267605712
117,1028626.926360912
118,1024877.1211973184
119,1021426.1263987417
120,1024154.9169331349
121,1019270.6794013351
122,1010505.4784535967
123,1016474.3152426439
124,1011700.9992170413
125,1003435.4008630427
126,1008411.9909810702
127,998595.1809979943
128,987938.309242965
129,990282.0292726733
130,1010311.4446183319
131,1018926.653349122
132,1022068.9498049414
133,1012934.1255386522
134,1026879.3665190391
135,1028430.7900663309
136,1028040.9076788663
137,1028810.9454553691
138,1031538.0036308819
139,1026765.6964671678
140,1033760.22080454
141,1039367.0074833507
142,1040115.0404673403
143,1046198.3389598896
144,1042705.7882681323
145,1037885.5527541722
146,1041625.0414915137
147,1043408.2181443167
148,1041626.7678714589
149,1048253.3886731023
150,1033912.3425430103
151,1047798.0527656961
152,1047075.3707355304
153,1044022.8958534895
154,1050579.1539621619
155,1056261.5539557706
156,1061871.9264201412
157,1059955.0041138474
158,1060431.055411265
159,1055267.5401266972
160,1065540.0118189561
161,1066787.5343325476
162,1068506.7095808664
163,1069509.021339016
164,1073669.7014489265
165,1076329.941296759
166,1072033.2066555172
167,1066764.158546729
168,1065915.5859513106
169,1060619.7559115845
170,1071875.9757876147
171,1076094.6947382344
172,1076980.2455026917
173,1065331.4200243498
174,1060343.9672911316
175,1060287.2722442017
176,1070273.1907416908
177,1068856.4290507445
178,1086156.4252435435
179,1086506.1202329646
180,1091849.7502844431
181,1101072.6712471042
182,1103409.2940899318
183,1108637.2969441034
184,1106565.6633055408
185,1107166.0302747865
186,1113931.880460267
187,1104326.9488070626
188,1103960.6893577613
189,1103801.105092485
190,1104833.4675453634
191,1103864.7756427038
192,1098668.7425309245
193,1098377.207577002
194,1086419.1479421281
195,1096010.1338960289
196,1108635.113486514
197,1101921.1949084292
198,1103191.5000585045
199,1103558.219606675
200,1102258.9265360823
201,1090105.1930335984
202,1068867.7157002771
203,1061992.147994862
204,1056950.2510848371
205,1045453.7839408251
206,1052702.868729534
207,1043943.523148062
208,1022909.752468792
209,1031981.8107479673
210,1031491.7895422579
211,1045256.313006389
212,1053030.6317106122
213,1058012.5258499375
214,1072202.4676339792
215,1070382.7156414874
216,1075479.530362238
217,1078325.3515625293
218,1079545.995232233
219,1069964.0831018002
220,1074381.3575986773
221,1071753.434473921
222,1079529.8953313362
223,1071186.106951798
224,1070043.94737495
225,1080535.6114445117
226,1084526.643976407
227,1076522.3303312012
228,1094862.0388276398
229,1099706.2915362336
230,1104305.8064863535
231,1107045.4802203372
232,1105446.968178173
233,1099036.9610123753
234,1097680.8724786672
235,1081137.6794772379
236,1074821.2141503466
237,1082943.0747656545
238,1089516.891125849
239,1086524.1251815914
240,1092325.2121001289
241,1090529.279196101
242,1088794.9904839217
243,1089681.1462636543
244,1081021.8009558937
245,1080674.540277893
246,1084395.4798708744
247,1088948.6396892602
248,1096770.138930492
249,1101928.3795226028
250,1099231.9399634686
251,1087367.814263553
252,1069982.2001665768
253,1070537.101615971
254,1082915.5247305105
255,1064898.2242456155
256,1053722.3477196048
257,1062929.1251968783
258,1065736.656485693
259,1075238.0964112345
260,1076899.6783738474
261,1080537.0315596778
262,1086060.1606207234
263,1083604.9846941784
264,1097614.077250872
265,1091936.9427387943
266,1097513.6335047372
267,1104238.9570688333
268,1106358.767865455
269,1103002.8056706479
270,1101244.6098960822
271,1102710.9876945212
272,1093587.5524682137
273,1101719.9545915544
274,1101872.8453474531
275,1103505.845668177
276,1113401.6043774101
277,1114595.98161586
278,1108682.4593918542
279,1097824.8765835427
280,1102401.3643766227
281,1104517.5440376527
282,1096087.2766385102
283,1105824.5290826552
284,1107102.246039235
285,1112976.1582047748
286,1122904.5890194292
287,1118933.8937995383
288,1125218.5194195102
289,1124516.439463429
290,1128694.833842819
291,1131600.096960361
292,1133901.9833151079
293,1142741.8397735439
294,1150918.6605378615
295,1154301.024194932
296,1156512.7299564166
297,1149150.5857887138
298,1137143.8570939985
299,1138481.1424244328
300,1140851.4053760802
301,1141000.243924966
302,1147852.9102183806
303,1147397.3482621112
304,1150803.6026529863
305,1149151.5526266333
306,1141870.247798565
307,1146640.4678548656
308,1146729.8904391038
309,1149967.8558990916
310,1150344.5639794436
311,1156885.8590356288
312,1156745.3452137376
313,1162053.5938459735
314,1162066.6571377334
315,1153739.7018122156
316,1158660.532284945
317,1153633.1088643062
318,1153711.6884930267
319,1158734.932116028
320,1155775.1733732347
321,1161632.929577678
322,1146956.4134611017
323,1156715.2142730362
324,1153545.3682931163
325,1159943.7408251564
326,1163243.5539246155
327,1158100.5601973513
328,1155350.2987666016
329,1156133.0441502712
330,1151035.638456298
331,1148390.8350706585
332,1122563.1402787447
333,1119987.290137595
334,1124554.8156789572
335,1113895.5205398523
336,1111500.0959977044
337,1108634.7755475088
338,1119391.1522571847
339,1124690.4274533987
340,1123926.9197056948
341,1133329.6914433315
342,1134234.0409616798
343,1133088.5893386505
344,1142802.9805016513
345,1151130.7907634918
