,0
0,-8104.599211556371
1,3937.5725949748885
2,-1377.0793382714037
3,-1816.6499159049708
4,5699.10729460069
5,2481.3252030175645
6,1487.4849454264622
7,-563.9907940321136
8,-1692.6743985014036
9,-5.211592239560559
10,-6721.328928001225
11,-1609.400500239106
12,-4549.54729079525
13,9637.551827964839
14,-1596.0179490470327
15,-893.2287271448877
16,-1070.852264645975
17,407.2790295877494
18,1136.0505542233586
19,-972.3252890957519
20,-705.7795772436075
21,2114.158974050777
22,1263.6823750508483
23,-1399.5364247367252
24,-279.20772331254557
25,-7120.101144602289
26,-1839.2640563086607
27,4375.214120356832
28,-833.5344348605722
29,932.4059361517429
30,-9488.77567455452
31,-4346.766667591874
32,1250.8031186636072
33,6757.903019603342
34,-3453.32449081284
35,-2529.685774462763
36,2537.696478781756
37,-730.0805397597142
38,800.0541933239438
39,890.1508059964981
40,1837.9842809361871
41,380.0973447309807
42,-10354.445856870618
43,6742.314522929257
44,374.1304093883373
45,524.4876714425627
46,13596.900024024537
47,5065.789307860658
48,-1113.6657818125095
49,1446.7179099293426
50,4471.127755595371
51,2325.1654940233566
52,3164.4164615548216
53,-1602.8264321899042
54,-1875.4737330074422
55,522.2738136288244
56,-494.578706495231
57,1768.8939504798036
58,1813.6532532116398
59,2094.9936967464164
60,1728.4752909960225
61,7274.813964367146
