,0
0,1000000.0
1,1000438.7830598142
2,1001468.9834404818
3,1001580.9051547406
4,1001380.977828043
5,997242.7954859423
6,998575.499304434
7,994854.1574939582
8,993459.1711153241
9,991423.0668172807
10,992171.585909351
11,995787.9554835961
12,993841.3265222559
13,995861.8407494796
14,995700.9604332172
15,997285.3408747613
16,997564.6850627413
17,993444.0932961326
18,996037.4163565324
19,1000639.8118502252
20,1000254.9917185126
21,1004593.2693999872
22,1005464.1286426708
23,1003615.0267789743
24,1005264.5760115312
25,1005208.486980644
26,1011139.1501105397
27,1012971.4894094004
28,1010249.2901153936
29,1017185.1691136812
30,1015047.4925003382
31,1018505.8191725791
32,1012815.61501616
33,1011297.8476079295
34,1012745.7525111772
35,1018040.8959260373
36,1011123.0070348467
37,1012932.8895142137
38,1002276.0190189569
39,1009473.6302551773
40,1004152.5444523391
41,991893.963233219
42,995581.3684212618
43,1009796.869108109
44,1008533.1077434248
45,1001131.8216488949
46,992745.7351399404
47,1005863.7525719912
48,998542.8256956689
49,1006067.2922467215
50,1014859.916691341
51,1001232.5846856188
52,976940.2768399124
53,979722.7327493564
54,968986.1650208225
55,974037.5895803093
56,986194.7322412882
57,994334.8157273692
58,989012.9781608888
59,996504.5864197969
60,990756.6075446906
61,995846.2833286846
62,1005847.6776970555
63,1011107.3692410245
64,1019589.3033392013
65,1019812.1252310326
66,1034643.6904516837
67,1034657.465002496
68,1036720.542255588
69,1032027.317097097
70,1035310.9403912537
71,1040090.9107302219
72,1039408.750038338
73,1040550.221362338
74,1044060.1420940645
75,1040198.2205515854
76,1039793.547752331
77,1040259.6510260799
78,1039407.3387584276
79,1040396.0263374884
80,1039906.1339657919
81,1049595.5600925132
82,1052441.7662822795
83,1047902.5530532023
84,1043330.4569818813
85,1041307.3642581126
86,1045932.2534503414
87,1041572.9200264902
88,1041425.2639796323
89,1044606.3727607767
90,1035598.1700770161
91,1020836.2996763348
92,1019077.2515548732
93,1015655.3496556884
94,1014666.1893839556
95,1005340.01649305
96,1013804.0512409058
97,1017373.331753255
98,1013775.4332403445
99,999990.6586559832
100,1002608.8583259032
101,1003490.50447232
102,1001350.9583568703
103,1002050.4430362503
104,1010609.4288621417
105,1009708.2682675931
106,1010142.7260670415
107,1022412.8345820544
108,1032118.2810135423
109,1038284.480452805
110,1036260.3149382151
111,1041645.0833408667
