,0
0,-781.994384654332
1,1342.4232498761266
2,6171.189342940692
3,-614.3442105164286
4,0.0
5,0.0
6,0.0
7,527.1895545525476
8,-1618.567561100237
9,1442.251334802946
10,2994.5134220239706
11,-712.867085033562
12,-507.39438785240054
13,0.0
14,0.0
15,0.0
16,0.0
17,-2662.3880531769246
18,-218.4673956593033
19,-2693.6856078079436
20,3061.751239567995
21,-277.7184086316265
22,-401.33251569070853
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
