,0
0,1000000.0
1,1000130.19781985
2,1000791.6236708006
3,1001207.0523303782
4,1001184.0906745467
5,996316.748304214
6,997447.2383817934
7,995014.9387917103
8,993446.0505063266
9,997382.7103676541
10,997841.4878263025
11,1001901.1808040177
12,999214.1460872268
13,1000130.0539674188
14,999621.9645156052
15,1001019.4976509903
16,1000719.6199105897
17,997915.0496142542
18,1001431.7485869841
19,1005511.1937711257
20,1005736.7358618025
21,1008820.7870399526
22,1009774.6407472255
23,1008574.0826023468
24,1010575.1147443419
25,1010320.56437906
26,1017248.3178647045
27,1020571.2693689364
28,1017126.4560394469
29,1025007.7553755497
30,1024419.5049418997
31,1026547.8999166335
32,1020920.0639123241
33,1016906.0322536442
34,1018929.3705378419
35,1023955.8713368619
36,1020427.3528653495
37,1022455.4750497523
38,1012954.042704728
39,1019195.534300743
40,1014642.7784501709
41,1003068.390032405
42,1006008.0475945015
43,1024515.8764977602
44,1025544.1380570786
45,1014457.8320377858
46,1005678.697220144
47,1021851.9440906838
48,1012878.1180540068
49,1019669.1082503222
50,1026252.1063477106
51,1011180.2748003136
52,983857.452144735
53,981750.6123939422
54,968635.851716965
55,975327.4296558506
56,978350.7988557657
57,985364.3526033432
58,977634.0287032363
59,982920.2069729693
60,980168.0327484589
61,981327.8205331209
62,993688.478570557
63,999499.2855401871
64,1014901.281066972
65,1010339.7836059498
66,1022693.8675930583
67,1029412.8746055373
68,1036395.2382664762
69,1027851.020428255
70,1031409.2719942997
71,1036659.506789144
72,1038662.0501822233
73,1042440.7639611133
74,1042674.903986939
75,1040788.2308122714
76,1042231.268627005
77,1040630.9727382339
78,1035055.0626862008
79,1034612.488133329
80,1036280.6700556243
81,1049490.2022723265
82,1051958.8599983652
83,1051711.9727044655
84,1042538.463971425
85,1035827.2393523101
86,1035780.4177206219
87,1029471.2586890019
88,1029518.0961272569
89,1039972.7405592221
90,1034364.6973694253
91,1017209.4678286979
92,1017109.3510248734
93,1010855.9915233203
94,1010492.0437971343
95,1000619.3466631154
96,1009375.1435924531
97,1009499.2271395922
98,1008112.3401899168
99,987181.2207877884
100,990422.4315364122
101,992151.8824237158
102,986052.9805220288
103,993616.7317174902
104,1001419.0737416525
105,1002723.5756263862
106,1002368.4724178376
107,1014861.7095087405
108,1031226.3805201718
109,1034154.7238803129
110,1030502.3392795537
111,1033997.8957553202
112,1045676.0962224486
113,1050489.5667930287
114,1060514.4335713843
115,1060339.2461568038
116,1054441.4399834045
117,1045845.5757797848
118,1039800.012549499
119,1037444.140382363
120,1039336.0262164685
121,1030636.347197907
122,1022045.3554684673
123,1026178.5553073422
124,1022782.1377826474
125,1010827.3752281055
126,1014181.1190323348
127,1003569.1982061153
128,992981.2990724491
129,995309.0400971916
130,1017073.7142001266
131,1027742.0203914142
132,1030334.1167391976
133,1021414.2137940644
134,1037443.1765059124
135,1038468.627905002
136,1040387.0352560532
137,1043910.1136407818
138,1047069.638152654
139,1039331.2257592175
140,1047064.5001802195
141,1052366.9256031169
142,1050638.552852081
143,1056704.6855122999
144,1052153.973190768
145,1045566.8695270966
146,1045270.2758275308
147,1046699.1335031627
148,1045184.1936950067
149,1053821.5929089512
150,1037970.8991920415
151,1052253.4216183086
152,1052297.5115845813
153,1047874.9475451362
154,1051892.470035799
155,1053886.7394326783
156,1060006.36064682
157,1060713.0413699634
158,1063823.1291391538
159,1058496.9872854406
160,1069987.4831046616
161,1073550.53960475
162,1076286.2836157759
163,1073152.9414932346
164,1074565.3312007166
165,1075956.9075091311
166,1073704.7426125633
167,1065751.3416702382
168,1065107.7494550212
169,1058215.4974684997
170,1072337.417919791
171,1076370.0574011907
172,1076712.8557957713
173,1064470.2764524752
174,1056976.2165835844
175,1058577.891223984
176,1065302.748991766
177,1061790.5858204807
178,1085486.414452068
179,1087946.9531960592
180,1092916.6830677202
181,1097833.681355584
182,1101459.101998162
183,1107592.0142499362
184,1107664.353260741
185,1107198.1240559462
186,1113316.4043207376
187,1103845.6370202505
188,1105643.1965608774
189,1105667.2501096765
190,1107372.4427044953
191,1104799.5396588342
192,1101093.2761077369
193,1098408.9855978359
194,1084903.9723129373
195,1091326.4180731508
196,1100960.1178613305
197,1093799.0701344467
198,1101137.2105412409
199,1098601.4856238966
200,1098952.6485788613
201,1084395.195963358
202,1063795.2341513839
203,1054715.7939061641
204,1056160.6458348082
205,1045960.2030422234
206,1057239.3384910622
207,1046158.8843955325
208,1025314.8289348461
209,1033211.1390668317
210,1028927.5507474481
211,1043391.1736972413
212,1050819.886188251
213,1054497.5125311622
214,1069090.7259529224
215,1065708.1922442582
216,1068397.7356907465
217,1072206.4103194973
218,1072914.1734049334
219,1066658.6664507187
220,1073012.6851677487
221,1069865.098868183
222,1079104.9178098505
223,1073402.8739429768
224,1073691.5074618931
225,1083227.1733349361
226,1088181.0800373775
227,1078796.243096636
228,1098245.524506095
229,1101153.7281234588
230,1105861.7492193528
231,1107570.1222698614
232,1106168.8363256524
233,1097841.5695890372
234,1095868.9779802237
235,1078582.976944956
236,1073692.2332818913
237,1083968.565162695
238,1090151.0679469763
239,1084640.7376370106
240,1092793.5148522723
241,1088136.831672352
242,1087167.2396409004
243,1088894.8653385236
244,1078785.3145971242
245,1076591.8843542705
246,1080753.1072000416
247,1085259.0441368886
248,1097697.0223484957
249,1097633.769418164
250,1095954.09940506
251,1081632.4422709201
252,1063553.5306754182
253,1060738.1100768768
254,1076928.627839427
255,1054888.5561202315
256,1042422.9845030698
257,1052538.0459896289
258,1055915.817371066
259,1067673.4153897616
260,1067453.8543357258
261,1071356.9446618173
262,1078552.855087859
263,1079751.4554743227
264,1089096.6270458037
265,1080520.0289026203
266,1081975.9112512053
267,1089970.4174405844
268,1094924.819577542
269,1091755.101781853
270,1089078.565362649
271,1089886.3424771861
272,1078913.8111367067
273,1085534.30173733
274,1089461.323970706
275,1089855.1514167713
276,1101989.592755485
277,1103055.8690123474
278,1098776.790269198
279,1083652.1297814192
280,1087633.9482686364
281,1094599.7118540995
282,1087819.3721078197
283,1099925.8128658193
284,1101856.579701799
285,1109797.5110793682
286,1124531.7043088228
287,1122416.06356689
288,1128545.9147494761
289,1124037.7611867115
290,1126001.6200974653
291,1133414.511390916
292,1137766.555545953
293,1145647.4629955024
294,1159804.8420278009
295,1165793.880141022
296,1168474.7284139532
297,1163135.4782244829
298,1154312.5998126108
299,1152464.0347956547
300,1154771.4707952759
301,1160175.712641763
302,1168532.1103777857
303,1166396.382674469
304,1167729.0464359522
305,1167772.4625312963
306,1157357.6917781837
307,1159761.817652348
308,1158838.5387463958
309,1160782.9967888203
310,1162815.3656628546
311,1166645.5553990304
312,1166727.0527337408
313,1176744.434900104
314,1174096.74578652
315,1163026.767065197
316,1165430.0379201062
317,1159057.9634658447
