,0
0,6734.394217710011
1,-9612.412802952342
2,3758.1670285807922
3,-3206.2225011186674
4,11042.815689327428
5,11816.925274363719
6,-69.97200077632442
7,-731.7423794814385
8,7325.727399609517
9,2901.563349341275
10,-1032.3856551803183
11,-4284.909582038876
12,-1234.2438162199687
13,-2097.463405499235
14,6392.999062612653
15,11433.536994318943
16,-12978.550834118156
17,-3281.489253818756
18,4217.0958170867525
19,-9153.386824376183
20,-8678.634568335721
21,2867.421668173047
22,5489.170041820267
23,-2541.5717555156443
24,14714.61142232013
25,-16435.71752614272
26,5960.80121120112
27,-13735.334362845868
28,9357.30787612591
29,-11453.59649728844
30,-5217.695746260462
31,-10740.762088376097
32,1641.4602237007348
33,-2507.7838547741994
34,7904.12119030254
35,6321.7603317954345
36,-363.5905944670085
37,2149.723557854537
38,-13692.955229210085
39,1603.1997574468842
40,4658.259781101369
41,-1004.6874109989731
42,19855.019091371447
43,-222.74858968146145
44,7172.165028957184
45,804.5535924716387
46,-5346.2374173335265
47,-6527.7904683807865
48,-1696.848002813058
49,-3480.801845201757
50,-2392.652847531019
51,-2148.3480483198073
52,14847.825916480506
53,-3537.7544436587486
54,7.117689488455653
55,12618.34292270476
56,-45173.02997703513
57,-23641.187872153823
58,13275.57807843003
59,26198.106207770878
60,12127.125797381392
61,150.25798132200725
