,0
0,1000000.0
1,1000654.472086821
2,1001534.1420955234
3,1002133.0678009242
4,1001397.3523522478
5,993195.2083614422
6,996112.4110737473
7,991062.5589692345
8,988027.3788074607
9,987000.4774527104
10,988832.6377336471
11,996641.238246755
12,997751.9686695987
13,1004031.7347726101
14,1005214.7426622048
15,1014403.3933653493
16,1020060.0901187998
17,1008475.1004835736
18,1019922.6023228498
19,1029125.8101838011
20,1029258.0605195325
21,1033846.177656825
22,1036078.4091095595
23,1031668.6049294617
24,1033899.6409679459
25,1031445.613987733
26,1038423.4881559778
27,1036408.5554202915
28,1032559.3113254795
29,1040918.8644309168
30,1043616.3407082377
31,1047410.8414163155
32,1042319.4551978441
33,1040026.1420530538
34,1043862.4823699389
35,1047259.7479006682
36,1041843.8949945391
37,1042994.0269450558
38,1029082.5188293207
39,1040318.7893969269
40,1033979.8116784861
41,1023099.365777661
42,1021478.3429586678
43,1032893.1145862107
44,1034375.647274992
45,1026671.8509456789
46,1017236.2640908494
47,1029514.0616145085
48,1022000.367353332
49,1027445.5947737249
50,1033815.3575007555
51,1019910.9093510562
52,996831.680600053
53,998017.7575864398
54,985150.1430428344
55,983891.211975368
56,985836.7724797659
57,987205.0340330923
58,980232.5955757987
59,987261.8263563163
60,991117.7891323477
61,993410.2150498886
62,1000311.1781450262
63,1003740.2851987381
64,1010858.0624476037
65,1012904.9444706999
66,1024681.8095650793
67,1024660.6540587009
68,1027967.4094146609
69,1028536.623774327
70,1030122.2140751303
71,1036456.221305339
72,1033808.6139478436
73,1036402.9718508758
74,1034612.0782061684
75,1041691.404539168
76,1046789.1777354504
77,1047196.2037230195
78,1045086.4227310469
79,1045093.028853656
80,1039033.3551874369
81,1045305.4573510573
82,1046593.3109482932
83,1046874.7069935638
84,1035488.2509678745
85,1030837.8105666875
86,1027510.3519316833
87,1022051.8324745715
88,1028614.4034756806
89,1038530.1511584499
90,1038843.6822034551
91,1023874.5936372991
92,1021748.8697979797
93,1019996.8317557661
94,1016509.3397033616
95,1016618.7090004523
96,1018954.0116468125
97,1022328.3184745187
98,1017996.1006017515
99,1006334.4696293797
100,1013127.378499082
101,1010977.3948404827
102,1010855.3998392947
103,1014637.0720975745
104,1021908.3007721256
105,1023399.5168864145
106,1021857.7490233198
107,1033478.0286106602
108,1036675.5035047774
109,1032679.4159609639
110,1038176.8950099878
111,1041726.7539241483
112,1040873.1381709886
113,1045109.2061524731
114,1059559.2253637635
115,1061079.4535174458
116,1054870.102638117
117,1066775.3842446846
118,1058841.584543226
119,1050260.3084041055
120,1051103.0245193369
121,1043527.176651698
122,1033823.2442744224
123,1043680.0735713651
124,1042836.9587945478
125,1029105.2143695774
126,1029185.0253010758
127,1023818.3989450394
128,1014845.3843056672
129,1018813.1013204886
130,1032463.1443099725
131,1039134.919397861
132,1046175.2237957979
133,1042042.4212505323
134,1055140.3309801037
135,1053914.1191003672
136,1055819.5292799522
137,1059419.081379646
138,1065475.651874356
139,1065093.670489289
140,1073974.4113246344
141,1071108.762628052
142,1076915.7507864602
143,1078209.3295140956
144,1075180.3701835494
145,1069934.4742958618
146,1068862.4264536663
147,1071522.2115302917
148,1070540.7543606795
149,1077190.3656379906
150,1067027.6837035338
151,1076872.9710474834
152,1079875.038573649
153,1077726.8002280644
154,1082839.052499408
155,1083188.0113670214
156,1085495.3595636284
157,1083593.97686856
158,1083693.8741212995
159,1082881.799747574
160,1092688.8036429768
161,1091571.1011291877
162,1090727.6980746784
163,1091318.401355145
164,1097450.790217604
165,1101913.4681463584
166,1098593.6733635142
167,1101570.638674322
168,1095431.015806654
169,1091379.4541017152
170,1095777.3216282704
171,1100966.0640420648
172,1097872.85427361
173,1093813.391843491
174,1086970.8553717276
175,1080389.5061960774
176,1085152.2619902096
177,1079172.8347418923
178,1092277.0306756739
179,1092007.0710870216
180,1096645.9246974534
181,1106270.6252232068
182,1108317.9461829034
183,1113451.9722522814
184,1111962.5496947153
185,1109980.8744698022
186,1115231.684994048
187,1106254.868345812
188,1101756.6569981824
189,1100651.8386972775
190,1105732.2775241102
191,1104992.8864073018
192,1105373.8559278117
193,1096315.6178652989
194,1089228.926734942
195,1100511.6487193778
196,1104928.42899815
197,1101217.8425434355
198,1095890.7247726063
199,1099459.312118978
200,1096727.480094745
201,1089998.920294035
202,1070831.297631739
203,1069745.4907176166
204,1052354.0936446988
205,1042956.0173448755
206,1049298.1656392235
207,1035076.5537751534
208,1022859.4061852574
209,1027721.6023446221
210,1030055.0113110141
211,1039556.4480715111
212,1053613.7177234879
213,1056646.8470423273
214,1076918.5293876866
215,1076788.826980212
216,1086082.0679532269
217,1087690.37011006
218,1085044.8072557105
219,1082127.2406094794
220,1081983.1334604209
221,1071688.8993367208
222,1079617.1274304138
223,1079890.6780839763
224,1081610.7706417423
225,1090927.8312262176
226,1088855.8959458533
227,1083368.2957002348
228,1095443.6177281567
229,1091158.8656316982
230,1088329.6405398748
231,1089708.700140927
232,1090270.3307464211
233,1090625.5342079052
234,1094646.1451910026
235,1083245.2759307516
236,1077611.696740871
237,1085701.8973468598
238,1092909.497268246
239,1087054.1292232843
240,1089925.263192259
241,1089832.887317756
242,1092765.6798742812
243,1106780.2618574095
244,1099486.280944355
245,1095366.051046823
246,1098364.3220138855
247,1104480.5411966713
248,1108098.6024145524
249,1111134.1215683504
250,1111705.1741855633
251,1101433.256964461
252,1090952.508165238
253,1090934.5998030766
254,1104284.721856091
255,1083926.367400824
256,1080430.4854213656
257,1093669.788151695
258,1096474.7904812812
259,1103818.0214552681
260,1110739.2930687475
261,1115619.6895968756
262,1118013.5360172095
263,1116247.2784004384
264,1137637.6768976229
265,1133338.8333937833
266,1156997.9480320783
267,1157326.3342762068
268,1156740.49365099
269,1158634.1538515354
270,1154328.7399869661
271,1160531.082325598
272,1151015.0989206492
273,1155833.895476581
274,1150630.4380696265
275,1150368.165236027
276,1157501.9204929154
277,1160129.4455435993
278,1156267.9397216479
279,1139922.83259526
280,1143252.3081150728
281,1150107.204032919
282,1144131.5592626678
283,1150848.7766538342
284,1151064.0762350883
285,1155475.6785114969
286,1162553.4351947412
287,1159433.134925719
288,1169244.5549129418
289,1173599.0728588798
290,1170169.9092683897
291,1174063.6840252792
292,1184568.9139825297
293,1192358.3995269125
294,1192722.6270216852
295,1196993.183849606
296,1200913.1803461104
297,1195950.099606735
298,1186317.7601459245
299,1190356.5583048516
300,1197380.570417668
301,1196356.0887340338
302,1208815.3364909869
303,1210255.2272294587
304,1205183.5146249752
305,1204803.7239100223
306,1197058.026612721
307,1200764.870697879
308,1199939.531048667
309,1204211.6980000848
310,1207903.3606420718
311,1213408.0111173778
312,1212984.7248669714
313,1220717.6263174373
314,1225431.517451087
315,1216042.7475317067
316,1223501.6819153044
317,1218582.5267726157
318,1215430.0733035682
319,1223597.1554925547
320,1220812.101451616
321,1231430.2136277684
322,1215990.279945369
323,1227419.013928306
324,1225901.2067382138
325,1237515.6223984463
326,1249749.4083955095
327,1250806.6599419233
328,1246634.5432674384
329,1246326.7339721536
330,1237481.356514325
331,1236720.2416770097
332,1208800.8527983695
333,1210716.7276999168
334,1213529.8617266482
335,1192833.902610001
336,1174351.8952364798
337,1173652.3127957168
338,1182375.5617291299
339,1189974.1563544408
340,1188364.3263532785
341,1197600.6728737655
342,1198114.0449076537
343,1195339.5413588681
344,1204933.507252457
345,1214731.0892428805
346,1215081.9629484774
347,1216904.4932801821
348,1217674.1149245198
349,1219497.3421820109
350,1219045.4163610195
351,1224903.1016817016
352,1224247.5586793344
353,1226227.5165154615
354,1223825.6507129886
355,1208632.0505935422
356,1208980.9256979125
357,1219603.926161664
358,1210904.7111066177
359,1204943.909618999
360,1217474.3056768053
361,1217244.4627339796
362,1211788.9729270805
363,1216186.4935469977
364,1219995.6673862592
365,1222286.2429206779
366,1221778.4419920412
367,1219608.002440956
368,1209048.1480821054
369,1212683.9371232167
370,1213394.0483235014
371,1186095.401792728
372,1199921.7240501554
373,1194241.7590379615
374,1194248.814966063
375,1178740.0352747722
376,1180709.6497834045
377,1187866.7098567837
378,1188691.4563999767
379,1174602.4262574
380,1197474.462866795
381,1185407.0946607408
382,1182107.0405934716
383,1164948.2694713238
384,1157285.7471455839
385,1142671.6223524373
386,1136833.097801407
387,1147199.5387090568
388,1155199.6713888973
389,1182549.489177305
390,1180067.3258439496
391,1196766.8388445904
392,1200754.265690565
393,1199457.4766526474
394,1214393.1707721176
395,1215361.1891088083
396,1219204.2249244656
397,1237035.3075664367
398,1237694.7265304832
399,1234503.0703198973
400,1241133.7546451152
401,1246609.270882193
402,1251149.3875306929
403,1250814.589044453
404,1254123.900100862
405,1259361.1256573237
406,1269816.9304256917
407,1274935.7183954814
408,1274191.501062131
409,1284026.8090085282
410,1284043.1945205142
411,1294753.8166896715
412,1299166.1176116636
413,1308627.344182401
414,1301709.0735990645
415,1308531.5118680885
416,1300077.4222984638
417,1287062.4327780332
418,1291264.104418594
419,1294776.1526441195
420,1290066.4741272093
421,1286469.4526295415
422,1263422.7186064366
423,1270991.3440621973
424,1252720.7713292553
425,1264459.6563422251
426,1248788.6810314823
427,1235928.1225366548
428,1225386.8764028873
429,1252102.7139097264
430,1286465.3153394703
431,1286172.121289562
432,1296807.7701646436
433,1305141.3616996603
434,1302425.5081858386
435,1310626.4466735628
436,1308651.756235379
437,1300069.0767790927
438,1285779.0728923797
439,1283865.1389852217
440,1253715.507058226
441,1253071.642163384
442,1270700.649939908
443,1303060.3888833774
444,1291272.76125569
445,1275392.1314157892
446,1272398.3178579165
447,1261800.3993752578
448,1246732.933742596
449,1253014.9945756139
450,1267106.3493213083
451,1272689.7299664211
452,1292028.591902242
453,1287579.5929040117
454,1292298.7366958964
455,1264727.6580286922
456,1270535.4117073251
457,1288663.5047514345
458,1271591.7469702666
459,1292131.3531126904
460,1304110.6597362615
461,1306754.319926798
462,1316659.999280258
463,1313497.3608667026
464,1314397.9831167352
465,1329993.2440562535
466,1345047.211240158
467,1357281.0746198606
468,1361723.9335376215
469,1363832.800380864
470,1361329.4648776993
471,1348280.2774960264
472,1356550.9175190008
473,1370423.3427842592
474,1372727.8983372257
475,1357195.9413777755
476,1362974.9279172109
477,1355706.880005765
478,1362022.3961028503
479,1358171.713800472
480,1352286.3038729765
481,1344546.1285269952
482,1334634.1891892515
483,1340850.3648232352
484,1319378.6231451475
485,1309533.5737802936
486,1320530.4836894928
487,1312226.2712197923
488,1332716.3799605118
489,1336206.6445164524
490,1354623.9231231164
491,1343595.8883382545
492,1350908.4132756959
493,1353809.2472007712
494,1345239.0360624755
495,1322775.1921895659
496,1323628.9355045091
497,1322966.4500015413
498,1345502.2918408012
499,1328421.387237916
500,1320918.7648477468
501,1330418.5455471908
502,1348057.524680253
503,1345466.4477524576
504,1342394.7005617674
505,1357325.0989467106
506,1359902.5958035241
507,1354529.9252687322
508,1357465.0219434174
509,1365263.828205839
510,1356817.517166954
511,1337465.1972143468
512,1354304.0526925907
513,1349509.5334190235
514,1360686.419670869
515,1367230.1758139238
516,1368102.2693506298
517,1376037.5314489945
518,1371767.6055758486
519,1360194.4399120768
520,1338130.5125460862
521,1352926.1638388638
522,1353033.7693382585
523,1334790.860015396
524,1327486.1151968988
525,1332256.7014481195
526,1352723.5965911373
527,1340790.1482373935
528,1339237.9215466075
529,1339096.3785399657
530,1359733.0602629355
531,1360879.0840141515
532,1365799.2985896093
533,1353242.243105648
534,1350930.0769172793
535,1361821.2607749202
536,1362666.1462892275
537,1340679.503763221
538,1354985.2213614897
539,1354238.2106410193
540,1346283.6018591495
541,1346611.0927910297
542,1342752.8969628138
543,1340561.8929959913
544,1330503.1426204534
545,1321780.6156088538
546,1310659.8297486873
547,1311131.950629248
548,1328512.4226061674
549,1326603.9539889952
550,1313054.8943322178
551,1307118.4507244725
552,1316761.6920305009
553,1315541.0934958025
554,1326875.8429863257
555,1318720.2411082976
556,1324436.6636064905
557,1320317.1389694635
558,1318309.0452662415
559,1312435.50236679
560,1309094.1759525868
561,1284104.9447660584
562,1286830.7285116883
563,1296110.1634039804
564,1295989.7933428246
565,1290437.3272818332
566,1296986.6315748175
567,1273325.6801717146
568,1271043.1479869606
569,1296919.129267354
570,1314991.3673579358
571,1317411.687524042
572,1317666.3809810209
573,1331541.790377183
574,1330605.8760481214
575,1340602.5751648233
576,1333227.092952709
577,1312399.84197937
578,1306738.6397766056
579,1297037.8342398505
580,1284347.969709902
581,1304392.221170106
582,1308532.337227207
583,1305504.6108520606
584,1289623.7119355157
585,1270678.121938601
586,1253899.0803661065
587,1257871.3407186465
588,1248619.2730257134
589,1242802.9542385293
590,1268834.919025827
591,1239629.3278373526
592,1253019.345280075
593,1246539.1007232855
594,1250446.6437357233
595,1249383.5436520467
596,1240152.9490447699
597,1223041.6534765419
598,1202111.131945165
599,1146012.2783590304
600,1107000.0644558843
601,1095648.262569277
602,1150010.464386166
603,1186266.8384675307
604,1192031.4518165204
605,1187279.8552025747
606,1150565.6186046677
607,1178092.283106039
608,1174171.3326247248
609,1158210.8319402493
610,1187810.3361678924
611,1166447.4651372803
612,1178819.5322769878
613,1190809.9798681603
614,1192460.2887558874
615,1203734.980429085
616,1210281.7894306977
617,1198204.9439568932
618,1179003.5606039555
619,1192486.2052681388
620,1177378.4990900937
621,1181706.3664404906
622,1181885.7503289147
623,1181798.3916025565
624,1156022.9991367266
625,1145231.9907332489
626,1165300.0780488362
627,1163563.9006762234
628,1185233.6042684666
629,1200694.3364209859
630,1201879.4490755764
631,1208010.7494106928
632,1208757.2679867332
633,1220173.1877369278
634,1219504.1342056862
635,1216045.5937118165
636,1197121.3188588636
637,1214278.5509795826
638,1215036.9758897177
639,1218033.9212666384
640,1224936.7100957981
641,1219686.8513235631
642,1237733.4133927885
643,1256328.3681385533
644,1233455.115947415
645,1238461.0686229246
646,1245642.7817685571
647,1246603.55580959
648,1241870.3633887544
649,1263246.5755052438
650,1284794.5935014265
651,1276964.391462194
652,1265098.2009032506
653,1260856.0213228622
654,1249149.9500902
655,1237444.503034479
656,1225011.1705995481
657,1210795.4700446622
658,1188948.195005838
659,1212715.9590409508
660,1217141.971559159
661,1244406.9827018657
662,1244066.5474119966
663,1239159.6920642962
664,1233848.9162922162
665,1243533.3513765638
666,1241784.1989507184
667,1240701.0989372814
668,1242195.6454763876
669,1244354.388508061
670,1228977.545920833
671,1216240.9851956354
672,1246379.086301373
673,1238616.6205685125
674,1230605.1804488979
675,1219237.042575134
676,1227072.1254048245
677,1199705.6535160346
678,1209263.1479882426
679,1210297.4938082309
680,1224422.9339661258
681,1199085.867227163
682,1177289.2233344333
683,1190321.0393129047
684,1198373.5335594593
685,1216136.533256801
686,1209365.708844326
687,1198528.1816565304
688,1215307.8256862904
689,1203604.9291060334
690,1188331.6807665518
691,1178504.4227640515
692,1168430.6573163157
693,1146411.473199785
694,1122464.8889062146
695,1116460.5741887798
696,1123544.672608344
697,1135510.331587644
698,1110218.377109021
699,1139348.5962446248
700,1108978.9488687743
701,1104354.7134944126
702,1090584.192374959
703,1096213.5247328584
704,1131186.691073872
705,1111719.8922806245
706,1126221.3642911117
707,1093269.9857727112
708,1100090.066987988
709,1132266.5675566017
710,1127684.7299962817
711,1100233.7247159253
712,1111849.7116480516
713,1113806.69096226
714,1091773.6893265082
715,1094068.4916097284
716,1089031.4718794606
717,1088977.9795367024
718,1082371.19942219
719,1097834.4129660437
720,1107596.2902132864
721,1128616.9054883122
722,1108115.0482527877
723,1108113.4243093205
724,1125985.4492651543
725,1106277.578857936
726,1116908.8108669745
727,1126056.0698982798
728,1119693.5787134303
729,1113147.1896624696
730,1144017.8343958366
731,1145275.007903939
732,1149838.4473934849
733,1157684.8300676735
734,1160760.1199896915
735,1152289.598801938
736,1165586.480802103
737,1166867.7568350958
738,1178073.2261046662
739,1177424.6341800177
740,1187625.1489174142
741,1197471.4839391436
742,1203492.6032879176
743,1208657.699154569
744,1207077.9063594548
745,1206284.860838777
746,1196824.6328735081
747,1198893.2628898113
748,1197075.012906014
749,1212464.6387263313
750,1225378.8089675538
751,1221933.46638456
752,1231282.1155503383
753,1233490.704513699
754,1219169.2032847304
755,1235081.3120818846
756,1215837.4912315174
757,1220174.3998551029
758,1216076.9409834344
759,1232519.9681457288
760,1242613.1263324153
761,1243230.911358708
762,1231223.5861410224
763,1227900.7659502018
764,1230605.1467485845
765,1233823.8462052094
766,1224961.8639785612
767,1222733.8653465547
768,1219474.3583953704
769,1219790.8448589263
770,1197261.103746084
771,1174482.1951898944
772,1159755.1221371258
773,1168281.8078044457
774,1170074.8976965041
775,1162546.0538767953
776,1161300.5822667584
777,1159296.1012171921
778,1160243.4952980457
779,1166681.977206162
780,1153043.1756151041
781,1146467.589533466
782,1136438.0194998775
783,1159928.6524970995
784,1145109.7946160208
785,1144330.4095652243
786,1154012.761967754
787,1164200.6665382618
788,1165722.6484414383
789,1181546.1108972735
790,1195332.458905954
791,1197443.0411746544
792,1199823.938033938
793,1195587.8781189153
794,1191346.942309561
795,1190771.1874306453
796,1190247.6761500468
797,1195950.180919653
798,1204467.0231995992
799,1206308.9766776494
800,1207020.3106959197
801,1207510.9331042017
802,1201883.4043811858
803,1201510.5033797086
804,1194508.1023419683
805,1197961.0236636675
806,1186642.1480315342
807,1191245.0326476418
808,1198340.092262367
809,1194851.2795273052
810,1209625.2618262947
811,1177519.5402612006
812,1158284.9814651909
813,1172951.733146749
814,1193904.0813162667
815,1204869.9416999582
816,1204166.2007626963
817,1200871.772381321
818,1203807.9603328237
819,1199653.5594221218
820,1214671.440156847
821,1219599.496790138
822,1224157.7608901653
823,1223656.1211262427
824,1238100.973169023
825,1235845.9172900065
826,1238461.0535562255
827,1237567.1865332583
828,1239657.8873102213
829,1230502.6175303485
830,1229268.135342014
831,1217274.7919800023
832,1213765.3896164254
833,1234965.3581774451
834,1238509.945075739
835,1238549.4789494157
836,1240287.3282861677
837,1230442.0231176636
838,1237067.5533605723
839,1239244.707530851
840,1250857.1994278012
841,1254938.9715249313
842,1258099.034764653
843,1254252.1532829334
844,1258397.48485255
845,1261786.4534926724
846,1270021.7692415214
847,1266891.1365793205
848,1264813.2309664292
849,1270504.757795915
850,1265633.8235885692
851,1261470.8338894597
852,1260344.7050503579
853,1255487.0377684298
854,1247718.4706694363
855,1242493.042663272
856,1247777.7298603863
857,1243599.5206455288
858,1241986.1401899725
859,1248780.681408735
860,1256362.5732016726
861,1261762.0310671304
862,1266402.4235302564
863,1259359.4911823343
864,1230027.272385685
865,1251242.0384082573
866,1248685.805832407
867,1260501.9109209178
868,1286130.3890598414
869,1282778.4350724218
870,1272750.2831127355
871,1271459.5242487714
872,1278835.130471009
873,1288106.281393999
874,1275870.6877691736
875,1268477.9146975805
876,1273955.5668478396
877,1285796.8641038088
878,1268570.158081632
879,1284859.3690060237
880,1280100.0359613898
881,1278066.8324401607
882,1282978.6351605214
883,1281139.8219644679
884,1279640.1210672176
885,1291130.381130861
886,1282254.681700572
887,1284825.4926322785
888,1279943.6194195116
889,1285753.2192233077
890,1284208.0578930655
891,1287745.6835656776
892,1280230.8333205357
893,1285051.4214585866
894,1280187.8989183367
895,1288536.117503623
896,1289905.3115991296
897,1278747.0283484797
898,1270618.1645567755
899,1275171.609020053
900,1280028.1956619516
901,1271082.9796834001
902,1266833.479799699
903,1254378.389416174
904,1245743.4197547475
905,1266337.9058504812
906,1267568.6524586242
907,1277209.1338902798
908,1264511.5412295384
909,1262917.1893953504
910,1247946.5649412337
911,1266308.740671696
912,1277155.7743430417
913,1273551.8453626866
914,1273414.3729947037
915,1288005.097382988
916,1290241.077566623
917,1289796.704930214
918,1295254.2442649596
919,1293901.0207596582
920,1291179.449216384
921,1287228.0010360759
922,1282226.9433190005
923,1286874.1383501762
924,1283227.721818995
925,1286655.4722882346
926,1299556.0783662049
927,1304423.1671332626
928,1318718.5334321049
929,1325089.2962981397
930,1339630.136937316
931,1330220.040953663
932,1336012.9506517963
933,1338126.7099436645
934,1342582.3449589617
935,1346729.1573103743
936,1343461.652230423
937,1335499.1437154226
938,1335924.9630285387
939,1339774.1874154406
940,1332707.689930666
941,1332359.8913730124
942,1325237.137443703
943,1328997.3878155546
944,1329639.9948485496
945,1332118.1445836239
946,1335133.279626093
947,1337143.0658766774
948,1333904.2427697878
949,1343528.07698963
950,1338516.6556047946
951,1336098.3262794476
952,1342882.4545760567
953,1341043.1785915787
954,1335877.4671112997
955,1333830.9622676116
956,1331254.3543225366
957,1336937.44768143
958,1348929.6012652044
959,1344518.5050792627
960,1336693.9114870199
961,1329866.9896497517
962,1327504.2104180078
963,1354479.2468743497
964,1357545.361716145
965,1365197.0129164155
966,1368589.130464118
967,1371768.108688057
968,1376558.283781355
969,1382659.7675077375
970,1382622.8923816618
971,1391653.4992206078
972,1398788.2709511644
973,1403965.5651434786
974,1402165.5118883282
975,1404556.5943762525
976,1418645.7320736058
977,1415772.8071730596
978,1416727.4595456773
979,1419848.0392129307
980,1423020.8413725358
981,1420798.3025271972
982,1436584.8162581378
983,1432096.8886319718
984,1433061.337311934
985,1428660.1777511244
986,1425962.6952326428
987,1415355.8532738334
988,1416436.1313145526
989,1421786.6811348612
990,1416388.2080077918
991,1411351.6768929511
992,1422933.2057091075
993,1420406.1372058855
994,1416370.2794225581
995,1420458.8497445043
996,1409856.2447049269
997,1419599.0811946706
998,1414653.2112395603
999,1412567.6099337654
1000,1410930.4410752854
1001,1428366.4986043484
1002,1433454.0037925271
1003,1433362.8339505417
1004,1432269.552135008
1005,1433413.5780984547
1006,1440145.5846799093
1007,1433316.9173882871
1008,1433313.4653872973
1009,1435150.7994054276
1010,1436004.6156256392
1011,1428926.732487436
1012,1429072.212074228
1013,1416175.0369638402
1014,1423016.3160646015
1015,1419774.0137225348
1016,1415258.058959494
1017,1429103.1346555676
1018,1428720.4898801055
1019,1439246.294305159
1020,1449370.0886931694
1021,1444978.8347416583
1022,1445001.9681141188
1023,1444789.754597426
1024,1455421.661152289
1025,1459540.2307672098
1026,1461565.4897940757
1027,1455578.2823706318
1028,1468460.0947998504
1029,1486424.6613404443
1030,1487348.9732491474
1031,1485926.6854369808
1032,1485640.376555059
1033,1492618.6900541473
1034,1494855.162022741
1035,1491007.8800493742
1036,1453044.9572831895
1037,1469638.3739880254
1038,1478151.194998696
1039,1482741.4839622045
1040,1482584.627320092
1041,1479538.9562727334
1042,1480155.5172291829
1043,1478246.8727839114
1044,1474542.9694556026
1045,1472635.0903063272
1046,1481709.8897446657
1047,1490187.2750856522
1048,1485786.1566292027
1049,1482661.9539182594
1050,1486434.1871911362
1051,1485110.133923371
1052,1464957.4972725988
1053,1454606.8207711151
1054,1461533.508934133
1055,1453409.5488552945
1056,1445081.4500964826
1057,1425980.249918832
1058,1445729.1991332953
1059,1433256.3177455177
1060,1432661.3221652547
1061,1426069.2422302712
1062,1429339.8380828276
1063,1427917.5676572965
1064,1417711.0639203475
1065,1430242.2202276874
1066,1418691.8885335803
1067,1420162.4902959634
1068,1421727.2076631796
1069,1422898.678567735
1070,1410522.8101185525
1071,1416225.0804546222
1072,1413307.2287800226
1073,1416790.5066067942
1074,1422846.0146375045
1075,1435522.810798789
1076,1448451.112331849
1077,1449669.1039151202
1078,1449899.0369810925
1079,1457679.6446512137
1080,1456402.734141467
1081,1451407.3132934025
1082,1461409.4658896711
1083,1472100.4244612625
1084,1475828.4016975837
1085,1468626.8491912733
1086,1472285.600248336
1087,1474944.248953743
1088,1489916.7962914996
1089,1519963.53502214
1090,1511365.5715051235
1091,1515852.5487866937
1092,1528049.5405335585
1093,1534822.2728318465
1094,1541580.2985117352
1095,1507864.070329486
1096,1515052.6914659895
1097,1528119.4821159805
1098,1534194.9596545326
1099,1527077.381075708
1100,1504620.794989945
1101,1501396.1286101446
1102,1500409.492912227
1103,1515315.4910164084
1104,1516655.1381473122
1105,1510693.6401024258
1106,1517474.6835323633
1107,1521980.7665432466
1108,1530903.8690593014
1109,1532877.9982038974
1110,1534981.785713415
1111,1538846.3059186891
1112,1535216.24021915
1113,1544694.4892460133
1114,1541605.4529487302
1115,1523792.056163075
1116,1545375.1398120525
1117,1547456.644846357
1118,1547556.3363931335
