,0
0,1000000.0
1,1000421.7475599333
2,1000459.8886304663
3,1000971.7864937221
4,1001168.1028597873
5,997403.657739344
6,999431.941334509
7,996920.6248315601
8,994942.5604323153
9,999154.0706788767
10,1000810.7557613454
11,1006191.8380140304
12,1005880.6762621279
13,1006136.0433296043
14,1006629.1902698971
15,1008410.8973018245
16,1009056.4564438481
17,1005504.9580803543
18,1009466.105055449
19,1014100.2543865761
20,1015029.9443623496
21,1016554.8329595337
22,1017240.2968719121
23,1016105.5743533585
24,1016215.2350510701
25,1016484.1402099514
26,1018065.3535399849
27,1018213.35294523
28,1016450.0815453953
29,1017502.4303025021
30,1017587.8883125782
31,1018431.0924725786
32,1018572.585778115
33,1017823.1607455813
34,1018042.4903369785
35,1018898.6739512521
36,1018343.9766526185
37,1018572.1730415325
38,1016767.9313582944
39,1017512.4017394326
40,1016954.4304456381
41,1016059.3653688378
42,1016778.236062989
43,1018124.1410326479
44,1017524.2768459928
45,1017101.4134813295
46,1016448.5562910489
47,1017250.4139252381
48,1016438.3365201179
49,1016862.5730757037
50,1017691.7245448268
51,1015789.3862162664
52,1011593.7734952434
53,1011542.7892501052
54,1008085.9479150986
55,1010574.9652859382
56,1012928.3289946804
57,1015466.6678610351
58,1011439.1727391237
59,1013667.5095985839
60,1013205.4481954986
61,1014179.2239828033
62,1018640.4151379311
63,1021522.4784031142
64,1024846.4830042588
65,1023771.4732090057
66,1028237.7253934835
67,1029536.0207308364
68,1030717.5653252364
69,1028795.2726510242
70,1029064.1061481676
71,1032286.156060433
72,1033677.7460139189
73,1034589.3142625231
74,1034469.6248992613
75,1033895.7373364586
76,1035442.9405403894
77,1035393.4074686472
78,1033496.8021768463
79,1032498.5953956747
80,1032078.5778241447
81,1034384.8073974797
82,1034539.7638560698
83,1034073.3547904872
84,1033441.7027262014
85,1032689.7544681311
86,1032847.9319882244
87,1032934.0975234323
88,1032454.7757574526
89,1032978.6752196124
90,1031680.1494698338
91,1028049.4681501245
92,1026739.5947268615
93,1024684.3792945863
94,1024476.1443063626
95,1021670.7961484337
96,1025151.9987347029
97,1027914.0877089733
98,1024138.9149778548
99,1011643.0312377596
100,1013334.1688658167
101,1015312.3804699754
102,1012893.8021424337
103,1015195.7280982446
104,1021147.751134843
105,1022569.1287683997
106,1022093.992715729
107,1033535.44779503
108,1043813.9437611786
109,1048548.9288760205
110,1045680.8247290093
111,1050376.770724498
112,1054364.6739127708
113,1056920.735083355
114,1066226.7974515804
115,1066851.162620179
116,1059806.290868328
117,1058244.6229128907
118,1055666.6488096148
119,1052763.330494265
120,1055154.3988421673
121,1051108.193530468
122,1042842.6559085902
123,1048696.01754353
124,1046492.7111476844
125,1039514.7378526417
126,1044481.9621446815
127,1036097.1783480879
128,1025670.5999782302
129,1027608.0304002254
130,1046924.7844788632
131,1054647.308135056
132,1057672.9051117846
133,1051646.0077244428
134,1060788.1581643848
135,1063807.2795342114
136,1063256.2595728422
137,1063912.1330370882
138,1065909.8717064527
139,1063563.5418696152
140,1065621.3562773706
141,1067030.669503768
142,1068228.7075820377
143,1068758.1678390366
144,1067740.509099547
145,1066708.7685236689
146,1067804.0866721473
147,1068218.68365428
148,1068265.058438642
149,1070930.1957513257
150,1066489.5452112355
151,1070630.0023007877
152,1070000.5804378516
153,1069344.999805952
154,1072126.6907070477
155,1074272.2157392611
156,1075189.0221338936
157,1073831.5770917425
158,1073349.9011656693
159,1072210.155801001
160,1075741.8511245383
161,1075296.0121873682
162,1075432.152263138
163,1075779.2985807746
164,1077456.6439062473
165,1078574.9494224524
166,1075832.197371515
167,1076031.3132393989
168,1074869.748558418
169,1073358.326483082
170,1076445.4616620596
171,1077908.3527683166
172,1076560.8958838559
173,1073236.5154858795
174,1070422.3897961853
175,1068740.8237441422
176,1071008.180145494
177,1070456.644944237
178,1074416.3916321625
179,1073597.4544671455
180,1074216.6953690378
181,1076620.931078033
182,1076819.615573149
183,1077756.5127258606
184,1077340.8004742083
185,1077446.0841653286
186,1078409.7049897988
187,1076721.0430342592
188,1076034.3454271606
189,1075709.0089225674
190,1075696.260692821
191,1075046.9332779143
192,1074202.305145798
193,1074439.2610440098
194,1072990.0248189117
195,1075179.8831002505
196,1076721.7236214774
197,1075836.2893432733
198,1075009.39780307
199,1074481.6803766252
200,1074330.9460252605
201,1073643.8308566844
202,1072058.5538694982
203,1070895.6819390007
204,1071316.1486259676
205,1067556.4142764686
206,1070432.4424751645
207,1066765.2878417654
208,1054922.624895852
209,1059304.97588951
210,1059668.8842382734
211,1067236.7215416932
212,1072927.8959914092
213,1072826.8856059534
214,1081875.2249616655
215,1079890.610810683
216,1081589.8257327727
217,1085672.1452567321
218,1086127.402347131
219,1082500.591923863
220,1084596.7575005046
221,1084221.6440592238
222,1086968.2991345476
223,1085149.4109956657
224,1085217.7822995149
225,1086985.7647384685
226,1087643.5838481686
227,1085458.0642101117
228,1087316.6118547327
229,1087471.0243024083
230,1087587.50907686
231,1087344.1025869465
232,1087065.7963033884
233,1086625.99248009
234,1086681.6323139397
235,1085403.0707638732
236,1084706.742902511
237,1085386.3708753248
238,1085664.5561741246
239,1085545.2635416733
240,1086408.2861339643
241,1085528.633999472
242,1085152.2453419343
243,1085545.2819769827
244,1084659.2727641908
245,1083571.5845545062
246,1084731.823327547
247,1086084.636325708
248,1087754.134509656
249,1088535.4927281337
250,1087960.1391207522
251,1086151.0774421033
252,1083451.7091600052
253,1084088.0171638322
254,1086253.7087968402
255,1080769.2631623936
256,1078254.0978438836
257,1081382.2177667331
258,1083840.8492631835
259,1089123.9853895977
260,1089423.6327244877
261,1090032.2493781429
262,1092037.42080306
263,1092424.7953686917
264,1093376.001739225
265,1087023.7443862665
266,1092093.0512899647
267,1098408.087000055
268,1101718.7180914867
269,1098948.4301882118
270,1096046.3407542047
271,1098507.579954259
272,1090632.692525012
273,1100649.7554514275
274,1099362.3369338175
275,1101570.798873904
276,1109481.3329104492
277,1111378.8467329456
278,1105306.7277817326
279,1096044.524662504
280,1097884.3374543237
281,1099173.5550517633
282,1090215.9030871515
283,1100182.733769068
284,1099970.8242369154
285,1104246.6632944434
286,1110203.0074809166
287,1107022.6953351942
288,1112641.1578498366
289,1112626.4481544555
290,1116342.4289802683
291,1116482.191448711
292,1117086.6774000828
293,1125277.9361340273
294,1130407.0882677827
295,1131951.1113779387
296,1132599.5421603702
297,1126773.6898354923
298,1116345.8331671804
299,1118770.8561572754
300,1118673.9295725343
301,1117992.5455873609
302,1123871.562321316
303,1125416.259498893
304,1129484.762787846
305,1126764.9727616948
306,1119975.5974005896
307,1124632.77000056
308,1123269.5729182074
309,1123891.4755928018
310,1122079.683178525
311,1128336.60564705
312,1127776.6730200895
313,1129883.663814641
314,1128763.7145658266
315,1125270.3570246766
316,1127397.3763225307
317,1125260.2653532885
318,1125440.344775078
319,1127691.0962754353
320,1127267.5880367355
321,1128191.4376248294
322,1124561.4591933324
323,1126783.992192963
324,1125771.810151068
325,1124719.6814072765
326,1124118.3081524142
327,1123449.7746829719
328,1122138.164973161
329,1122193.9980184743
330,1120601.7201345246
331,1120132.0847636932
332,1115997.8749018444
333,1116376.7425103465
334,1116606.8095931797
335,1114954.368047459
336,1115342.2577324498
337,1114895.7501200363
338,1116303.10133753
339,1116785.9523268554
340,1116932.9480267651
341,1117721.1318154437
342,1118409.5651911318
343,1118162.5282459953
344,1120033.9512033772
345,1120618.89298256
346,1121109.131649491
347,1122400.417863735
348,1122000.8378401024
349,1123121.0244268475
350,1122946.290290277
351,1123271.750152198
352,1123028.9719959004
353,1123509.797063798
354,1122208.2633732252
355,1119962.874765079
356,1120582.2911615793
357,1123463.1097492268
358,1121453.500353101
359,1117181.3720237776
360,1121454.791887808
361,1120924.2769181477
362,1118341.3469967241
363,1120772.8001679447
364,1123891.3026981405
365,1125833.422093032
366,1129789.095275933
367,1129578.8853045925
368,1124343.0957411828
369,1120101.3418708546
370,1127381.2230183021
371,1110097.9884301205
372,1120893.7820303454
373,1117457.9245894486
374,1116123.295628501
375,1102686.3483955562
376,1104128.7782601486
377,1115767.6598842405
378,1114832.906575745
379,1098994.1183091605
380,1118911.8003632564
381,1099902.7912759478
382,1088907.7140962668
383,1071020.661411597
384,1069856.9854536788
385,1056230.412542559
386,1053923.4144797875
387,1072091.2081366754
388,1078600.6431883953
389,1099218.5818481129
390,1085476.7490154977
391,1100408.1148030036
392,1109324.3597706114
393,1107476.0908399774
394,1122945.3159836193
395,1122381.9181344896
396,1127457.813740345
397,1140880.3606516805
398,1139800.2303681837
399,1133124.0137634412
400,1140095.4943485667
401,1145745.7737247818
402,1146304.6447365126
403,1146907.4049049902
404,1148976.7072390984
405,1151899.351698837
406,1156443.5667246855
407,1162535.734268046
408,1160483.797185307
409,1166082.5534008017
410,1164707.669901084
411,1169260.9950323543
412,1179034.4467466073
413,1182267.436308767
414,1175541.001505696
415,1179201.2823868252
416,1162672.0584248458
417,1152975.838501989
418,1160366.6826155237
419,1164437.1966250415
420,1163293.7729921194
421,1164519.3089982418
422,1145893.811272158
423,1146230.8044452416
424,1125586.4404740855
425,1124756.1077145685
426,1103490.2712848126
427,1097824.4899137507
428,1091942.3527684845
429,1115523.2311731663
430,1142937.079214306
431,1148956.5809847007
432,1155977.3452116526
433,1160104.8625940937
434,1158653.8845825195
435,1163675.883683403
436,1162394.3588823262
437,1158483.7178097318
438,1149776.8812812779
439,1147602.3562364215
440,1132581.9404563745
441,1129092.5382172752
442,1134958.6570482296
443,1148522.4865469737
444,1144364.0741016679
445,1138032.231867705
446,1136519.2926986157
447,1131182.4049791847
448,1124035.1730512774
449,1131031.7296758953
450,1136493.2298820533
451,1141355.186795744
452,1155561.797668738
453,1147698.359774592
454,1148216.052732494
455,1128710.3840459427
456,1123055.5236831973
457,1140456.0169018598
458,1125615.040503807
459,1139218.973269395
460,1157861.0469431363
461,1154163.6458710087
462,1162263.8641617426
463,1162028.2524185341
464,1161660.2684890425
465,1166796.2271966964
466,1168702.521968733
467,1173907.254374716
468,1175140.750918624
469,1175714.0797119606
470,1175609.6632982588
471,1174092.5642994428
472,1175710.8212319808
473,1177133.036347348
474,1177050.9966545491
475,1174580.8182057817
476,1176092.405653324
477,1174020.056433992
478,1176705.0556507232
479,1174689.4986152458
480,1173217.260537215
481,1172030.1205081106
482,1168714.1534992699
483,1169620.1151864985
484,1166025.5255480348
485,1165057.2169001785
486,1165870.416276303
487,1163943.6724996418
488,1166390.5042884385
489,1165239.5833946276
490,1168807.3613832137
491,1166207.919769682
492,1166891.3020251847
493,1166678.1872758404
494,1164940.250280038
495,1161289.7582148218
496,1159873.87803323
497,1161155.357607528
498,1171188.587636932
499,1163497.1188598564
500,1160743.7210743856
501,1163131.3131413404
502,1167655.9997300794
503,1166466.4245995732
504,1165149.8611789937
505,1167648.839534661
506,1170653.289097221
507,1168494.1515947722
508,1171517.9408853692
509,1174647.2435456952
510,1174059.3745518522
511,1167044.9522922665
512,1171654.5287526478
513,1169467.858907775
514,1171205.6823618712
515,1171810.3626197046
516,1171935.8620658817
517,1171845.3029542742
518,1172949.98460489
519,1171109.891548682
520,1167165.7094361125
521,1171235.5460134384
522,1172015.320307618
523,1169258.4178670258
524,1167692.740317624
525,1167714.8636290478
526,1171887.4518598446
527,1168752.6731717093
528,1168256.9817569107
529,1167322.1415962053
530,1171421.4321648872
531,1172775.264016192
532,1173387.644925856
533,1170853.9580596893
534,1169554.6869989114
535,1169944.6404186734
536,1168045.8621294298
537,1161010.9485882767
538,1163266.6179269832
539,1162424.2443921159
540,1159176.2898255493
541,1160137.503149583
542,1159082.045149561
543,1161737.2210080014
544,1156312.1193976372
545,1152921.0360233579
546,1149467.3392560454
547,1149501.304385774
548,1157464.0510601918
549,1158652.7153743578
550,1153062.1996240723
551,1147451.5727518876
552,1152186.929803544
553,1155315.1877085213
554,1165683.0017590376
555,1160710.4204994002
556,1164157.5455664883
557,1163842.201908851
558,1153513.387042205
559,1148031.0238704893
560,1150386.3345255577
561,1127652.2257877772
562,1128144.3595609453
563,1138300.0967264816
564,1138257.6116110964
565,1135157.2994749325
566,1144331.8351524896
567,1127291.8385820626
568,1132160.5347221554
569,1146125.624057675
570,1159946.439263309
571,1164368.494001335
572,1162255.254948264
573,1168078.8426179243
574,1163620.888579424
575,1163586.5408261786
576,1157884.3138331366
577,1154363.0569317127
578,1140287.6217786805
579,1127458.4484459967
580,1116724.4606986078
581,1129233.3554515622
582,1137262.7062300802
583,1137328.7036036137
584,1131987.5897470706
585,1125216.1005694615
586,1121277.1165859445
587,1113715.5352641714
588,1107292.0457829088
589,1110678.3502882607
590,1133896.9699212855
591,1114408.538490212
592,1115061.313354839
593,1115217.231527103
594,1118288.1131055385
595,1121178.4183704276
596,1115756.312781347
597,1103405.0522660816
598,1074083.9231074501
599,1041315.3005309033
600,1004490.7019419963
601,994045.4456411329
602,1030590.8759991913
603,1058727.64565325
604,1063106.414325749
605,1057079.5081905744
606,1024305.9937895574
607,1046140.7109503681
608,1045145.1159876976
609,1030667.5989589781
610,1057582.6094615725
611,1043807.1742659062
612,1048750.566197199
613,1056452.049611557
614,1053288.6060091197
615,1066921.8014743358
616,1077425.6981481004
617,1069719.9413890282
618,1054142.1319089823
619,1061770.1411744826
620,1048632.8012854138
621,1040237.1039439535
622,1029175.5085494092
623,1032020.8884501752
624,1007866.0456129139
625,1007074.738788863
626,1026400.5159313144
627,1022964.0802592484
628,1036671.2897747374
629,1061247.482597869
630,1067526.1930076657
631,1072081.222498209
632,1078477.9759128392
633,1083783.7396081062
634,1082625.292207172
635,1079335.091286353
636,1067182.1861800703
637,1081511.869125522
638,1080798.7344231957
639,1081943.6551550308
640,1089280.3173093593
641,1089769.005654436
642,1101892.7193123775
643,1118563.4339691799
644,1106811.2839821808
645,1105793.9850919498
646,1123219.421074315
647,1124310.2632658228
648,1121517.0960674612
649,1132908.93632794
650,1139248.36645312
651,1133660.1203204882
652,1128458.0012897367
653,1132193.9971425482
654,1122319.238469622
655,1111508.8194292064
656,1105916.0560125099
657,1091687.8657255566
658,1078178.2651807412
659,1091898.2134051442
660,1090015.6602992667
661,1112536.3271547088
662,1120185.4851692675
663,1122659.1741771293
664,1115011.8005907373
665,1117067.8548194089
666,1111326.5798870514
667,1107839.6351528103
668,1107371.8899885665
669,1112350.3028068913
670,1100531.5124213158
671,1087985.3027944332
672,1111062.056116614
673,1102328.2520452442
674,1089453.8981377285
675,1087285.8469377905
676,1091022.8547348606
677,1068491.5476000677
678,1063501.1543478142
679,1069793.504112837
680,1079547.4152404459
681,1058284.3974006819
682,1030233.603467041
683,1039800.6893817282
684,1048052.5910839742
685,1062338.9240241167
686,1059069.2055235975
687,1054843.3610922426
688,1070190.8983989332
689,1060136.2088038719
690,1046062.6862915141
691,1030108.3468298089
692,1015894.264850161
693,995035.3474853777
694,963254.2212749266
695,958192.4371884431
696,963701.5062924332
697,973642.0826513881
698,949057.3820058776
699,962936.4606727521
700,939905.8784520389
701,936283.0070299791
702,929663.3152079001
703,930676.1818428668
704,930747.2994862229
705,917057.7580422056
706,927926.5988373343
707,880843.5858589928
708,882349.6660218189
709,903304.7524269894
710,905797.201398166
711,885817.7810114775
712,905910.1524025482
713,913917.9314068884
714,899044.3065703453
715,891527.0734324164
716,889974.8431823191
717,879160.506407122
718,864267.3228648762
719,875063.3362471232
720,896068.7717587872
721,913496.2234810763
722,907283.3012535437
723,904677.6694461596
724,917452.7037336457
725,902054.8385572142
726,905465.3226426757
727,913790.3058903174
728,916114.0115128107
729,916304.8208845613
730,943015.6704443467
731,944836.7952675982
732,954738.9935449283
733,964751.8259104764
734,967797.4011923036
735,960567.9688367407
736,961935.5785527844
737,960555.2289507444
738,972729.4400913063
739,976043.6465887378
740,983997.7859759281
741,996210.2700626464
742,1002570.364358634
743,1010619.7545841725
744,1012973.4968585845
745,1013562.4211513754
746,1005773.4827232867
747,1003674.1420173425
748,999663.8413222749
749,1013813.0991531922
750,1020805.9275405131
751,1020122.4059889022
752,1024871.792470557
753,1027137.1526769669
754,1018544.7075710838
755,1024969.6686816051
756,1006321.5324968704
757,1010352.2307042212
758,1013501.8817856837
759,1026991.4327276988
760,1045089.6736737179
761,1046241.9871709173
762,1032827.2365006495
763,1022695.9500061611
764,1024701.9773126367
765,1028190.7822368415
766,1023095.6088978084
767,1022722.0722959908
768,1017384.0649668289
769,1018300.4952924418
770,985172.1990579694
771,963822.347472809
772,955743.9459502251
773,955519.3305662973
774,958805.4652551189
775,948150.3642169669
776,941171.5215222945
777,941537.9988512347
778,937721.6150676996
779,947783.2611517686
780,939851.7798654108
781,926597.9690510939
782,924313.9818057653
783,946712.240735598
784,938576.2908117952
785,946515.9765353668
786,939973.4068140497
787,950499.2757097699
788,957158.4279754193
789,971443.2935118742
790,985534.1926672227
791,990251.180334123
792,990802.0690203322
793,987143.1512949332
794,978755.2665111839
795,976779.9206079163
796,975683.8717738916
797,984783.0312080533
798,987269.14314003
799,989162.7587487749
800,991473.6270141484
801,982065.7040288869
802,966957.2594865491
803,959115.1731070509
804,957879.6324924119
805,961946.9030319927
806,948253.9537152452
807,950033.5881035394
808,954450.4926163757
809,951070.4998347581
810,961172.8745807767
