,0
0,-8485.886915478623
1,2778.940146641573
2,-2163.1193030329887
3,418.977352890186
4,-4679.53703528503
5,-9393.202449370408
6,-10504.576774166431
7,12290.22685474786
8,-8229.584071196616
9,-6497.246649047593
10,23416.557721774792
11,-3819.2292011233512
12,17772.576585829724
13,21182.55302055832
14,-2974.84999873396
15,-2717.9284284599125
16,-4011.92193492176
17,4993.1879362843465
18,-1364.9498571886215
19,-234.76787512912415
20,22.992243665270507
21,567.8602860660758
22,338.8602529906202
23,-144.54044733708724
24,0.0
25,0.0
26,-20.731178179383278
27,-63.22775095002726
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,-160.86576821352355
34,138.44282109779306
35,-142.12646418018267
36,-230.831229517702
37,-742.5658962142188
38,-77.45756980474107
39,1508.5080640437081
40,556.4709610247519
41,-691.8912211335264
42,-302.1420810748823
43,61.46056820475496
44,454.6885848043021
45,-925.7530756061897
46,-1637.3765130462125
47,950.0438269951846
48,-17.625873784767464
49,-1076.5598494955339
50,-1502.080503542209
51,1867.5009531476535
52,-707.5735719306394
53,-377.43665910791606
54,-375.1388601399958
55,-70.45162854157388
56,-66.27665714384057
57,-1742.623126393184
58,1308.0781463880558
59,-2949.043318421347
60,325.2676664306782
61,2595.162533182185
