,0
0,-2767.882416180568
1,623.8815994840115
2,-447.0091655731667
3,-139.17923805792816
4,1819.2298557450995
5,-281.25683441967703
6,1481.6294712966774
7,-508.8951504922006
8,-1457.602252583718
9,2212.695444737328
10,-1243.5658646228258
11,-896.7807442641351
12,-1796.7720579344314
13,4442.381286517484
14,-2350.4986573795322
15,65.37161867204122
16,-647.080008048797
17,456.28124008281156
18,-359.9776906047482
19,-259.3789782158565
20,-221.88519297121093
21,499.1799286364112
22,1337.0559943336993
23,-629.6312781223096
24,-427.9733289759606
25,-2614.5096196194645
26,-166.39533918956295
27,1265.071644718526
28,-26.990892936941236
29,8.385972162010148
30,-4968.343148183078
31,-1668.45706954645
32,430.14609509380534
33,5085.021001442801
34,-2115.681965013966
35,-711.8518685116433
36,613.9854035016615
37,-2520.8987763074692
38,2773.3776148455217
39,1724.925407258328
40,4748.2565846005455
41,1634.325950101018
42,-20372.67082566186
43,3301.03663237649
44,-2755.7168776367325
45,2212.6874088735785
46,15805.863253687276
47,6895.50298452354
48,2277.7445342754945
49,3196.5327414923813
50,1860.6936444023158
51,5293.831081086071
52,4881.906271710759
53,2168.676081662765
54,-2391.1005174804013
55,-387.1402629050426
56,-41.02249563764781
57,-1621.7471052452456
58,64.13081225589849
59,2575.44474529312
60,1050.9227243778296
61,10002.210608372232
