,0
0,2748.6943495869637
1,-1584.2420184421353
2,699.4876454116311
3,-5250.212070303969
4,-4739.479146669386
5,4848.589638071833
6,-111.59779686131515
7,-857.9527032412589
8,1464.8786534999963
9,-2097.9403646865394
10,-1960.197345905006
11,6476.015264951624
12,-463.2430088906549
13,10504.847964259563
14,6882.29324756586
15,639.9773549085949
16,-6250.559176848037
17,-8097.399738780921
18,-5383.48123567435
19,-1049.4942264258862
20,1202.1725495234132
21,9226.035760505358
22,-1195.0783304711804
23,3137.675445953151
24,-4868.161771608982
25,4412.530966877006
26,5979.964350746013
27,5753.292168922024
28,2022.9869430919643
29,4884.557887900155
30,-1399.1479982472956
31,-830.7900664203335
32,3986.2885620398447
33,2697.7168587634806
34,2045.23790791817
35,-2127.108202065807
36,-883.0254158705939
37,626.0054975093808
38,15860.274069356965
39,-8111.694512239192
40,-231.85624844394624
41,-1894.107565361075
42,-2927.9197044582106
43,-8352.185471385252
44,-5177.124340237817
45,2633.0944740476552
46,-5059.896197731141
47,-5873.652926401701
48,4392.029211943271
49,1408.8989615226164
50,-5812.1345678051
51,590.6127490918152
52,-10905.330234107794
53,548.2818976996932
54,-168.25675677787513
55,-4193.5572256157175
56,-4273.016738316044
57,6567.729915536707
58,-822.8288552053273
59,859.4566433571745
60,-2289.33718397934
61,430.1472840977367
