,0
0,1479047.329607887
1,1478389.7119135568
2,1478773.8007041574
3,1478679.3278256452
4,1478139.1332099866
5,1478028.2224350846
6,1478028.2224350846
7,1478028.2224350846
8,1478028.2224350846
9,1478028.2224350846
10,1478028.2224350846
11,1478028.2224350846
12,1478028.2224350846
13,1478028.2224350846
14,1478028.2224350846
15,1478028.2224350846
16,1478028.2224350846
17,1478028.2224350846
18,1478028.2224350846
19,1478028.2224350846
20,1478028.2224350846
21,1478028.2224350846
22,1478028.2224350846
23,1478028.2224350846
24,1478028.2224350846
25,1478028.2224350846
26,1478028.2224350846
27,1478028.2224350846
28,1478028.2224350846
29,1478028.2224350846
30,1478028.2224350846
31,1478028.2224350846
32,1478028.2224350846
33,1473893.2900356324
34,1468722.1014738977
35,1468551.4824303156
36,1468551.4824303156
37,1465936.07968103
38,1465771.4960799194
39,1465771.4960799194
40,1465771.4960799194
41,1465771.4960799194
42,1465771.4960799194
43,1465771.4960799194
44,1465771.4960799194
45,1465771.4960799194
46,1465771.4960799194
47,1465771.4960799194
48,1465771.4960799194
49,1465771.4960799194
50,1465771.4960799194
51,1465771.4960799194
52,1465771.4960799194
53,1465771.4960799194
54,1465771.4960799194
55,1465771.4960799194
56,1465771.4960799194
57,1465771.4960799194
58,1465771.4960799194
59,1465771.4960799194
60,1465771.4960799194
61,1465771.4960799194
62,1465771.4960799194
