,0
0,1095310.2250219218
1,1083043.906799256
2,1090801.0079085631
3,1089155.3259770672
4,1088369.6173488535
5,1093900.1116120443
6,1084499.4924152987
7,1082015.843656968
8,1077216.0885913293
9,1079410.2261931198
10,1078633.2402359296
11,1075083.4289816618
12,1074227.4728230294
13,1074306.3965657004
14,1070011.14616275
15,1071192.9186379127
16,1072931.1314665335
17,1075484.8135837147
18,1074899.2602503356
19,1079196.8259630608
20,1082134.7950945203
21,1081949.756692102
22,1077612.297605309
23,1077017.5348341074
24,1073937.9667498956
25,1089073.0117919764
26,1090517.8521357607
27,1092445.9007601892
28,1098498.92199983
29,1099216.7171372876
30,1095272.3968555443
31,1099779.2002689
32,1099086.8560816532
33,1099513.184598586
34,1100499.255385578
35,1107298.4712329237
36,1108096.8851013693
37,1107542.8243559424
38,1110705.9569127816
39,1111876.7738876797
40,1108107.364795412
41,1108375.636922935
42,1106485.8328718361
43,1106249.6091852742
44,1108142.1938723503
45,1109147.3939067167
46,1122635.3961886812
47,1124533.9074963906
48,1128681.2888219152
49,1128262.2442885796
50,1134157.7337592663
51,1131681.4958686447
52,1133052.731394377
53,1132039.9418607694
54,1131883.7719986923
55,1134607.8004984949
56,1133502.926554909
57,1133800.5334230792
58,1133009.4913809604
59,1133342.8328481885
60,1130981.421237397
61,1131410.9028806554
62,1130138.7079923318
