,0
0,1082748.3738601613
1,1085237.343615225
2,1075086.6269438302
3,1079529.3651162954
4,1077890.3115666201
5,1090055.6455499313
6,1102695.7468916231
7,1103617.4058988101
8,1101811.5184753402
9,1108614.2667022115
10,1113202.944485537
11,1110177.045222311
12,1106371.2842162559
13,1107399.4856011472
14,1103527.0250245747
15,1109200.2682905
16,1116056.903427955
17,1102773.564099568
18,1095902.4569346104
19,1100551.9892025853
20,1090255.8865111428
21,1079845.7345504859
22,1079416.579452257
23,1082594.6051853693
24,1076523.1189615382
25,1091040.0079394274
26,1083123.7806484513
27,1083937.1452539498
28,1071436.9167969115
29,1085497.8257149814
30,1075331.0001912622
31,1072144.945407513
32,1061821.0232261696
33,1065836.921727738
34,1067407.3223681725
35,1077207.0950911846
36,1089123.999582045
37,1085812.7392917573
38,1088069.6152284422
39,1079057.3148812177
40,1079130.1734315453
41,1084360.1172559627
42,1087399.3874926153
43,1101229.9765906937
44,1105997.609617255
45,1110388.6672207874
46,1107682.7167575131
47,1098547.4740636894
48,1090885.1990575043
49,1087348.7546922795
50,1083887.6674458706
51,1086696.3029096897
52,1087980.7487152994
53,1098415.011711806
54,1098950.9097096252
55,1097256.0709801903
56,1113683.8758019907
57,1067557.944861369
58,1046217.506020062
59,1056949.4034776064
60,1076340.2443761488
61,1091216.809996662
62,1090577.8921148316
