,0
0,-10321.731541073881
1,3035.5669782394543
2,1939.6019956520759
3,1708.0158839558717
4,5999.772528462345
5,5206.093379581114
6,1717.9504685348365
7,472.525969410548
8,-9609.517655802658
9,405.4217623192817
10,-2960.453068671981
11,-4836.294873919571
12,-4793.966936104
13,11400.252663792344
14,143.98472767486237
15,-5525.953658036655
16,-1291.9007378853858
17,413.255985959433
18,480.864423441235
19,778.0872911904007
20,-420.89199384045787
21,604.8055042712949
22,-283.3804614075925
23,-1189.5274452171288
24,-3684.0752538647503
25,-7968.581597750075
26,1591.2987384553999
27,6366.496084616287
28,707.6625793091953
29,754.7089615790173
30,-14770.059653698234
31,-3278.675384642789
32,623.5461179441772
33,14608.97331113019
34,-5130.213459230959
35,-647.7622982510366
36,1377.7902710379567
37,1227.2368373605423
38,3352.2602834277786
39,3891.0019278666005
40,5919.446165512782
41,4866.662616892485
42,-14392.685430739773
43,1163.77737972443
44,-2991.6805361437146
45,-1616.9736918094568
46,17260.429916156223
47,7764.278554029763
48,1564.3257433872204
49,1406.3181427663658
50,4205.788956340635
51,5418.90051688836
52,3893.081537026679
53,981.9535952482838
54,-2012.4695051552262
55,-2456.605010090163
56,-2114.017877723789
57,2179.512742996216
58,8412.844799831975
59,305.18075384316035
60,4443.519037618069
61,9741.758872263366
