,0
0,1000000.0
1,1000088.7782960656
2,1001513.9492212968
3,1001901.26329799
4,1001770.3591413077
5,995106.4281265746
6,997967.9014268878
7,993930.5172315766
8,992582.0676167723
9,994769.6423801158
10,996537.3452396109
11,1001978.9135448936
12,999532.3846463237
13,1002976.9430430053
14,1003015.9794457497
15,1008414.6207255836
16,1009963.8380850853
17,1001899.8056104857
18,1008739.0370804855
19,1019034.6768313173
20,1019570.3616106398
21,1025339.2670720431
22,1027653.9281820554
23,1026186.8229531378
24,1024556.917123516
25,1022560.7096081737
26,1030681.1824883394
27,1032811.3064580194
28,1030511.595256268
29,1041446.0099262595
30,1044267.895720793
31,1045871.2804393211
32,1038697.264070262
33,1038026.8617016887
34,1040710.1386138885
35,1043732.2665327571
36,1040172.8770995116
37,1042477.1881778
38,1031348.3542782327
39,1038931.8188548968
40,1035844.6172052927
41,1018452.4097784628
42,1022297.8698420126
43,1038783.6275254712
44,1036489.5960659052
45,1027308.2007011067
46,1015840.4427634381
47,1031047.5619514864
48,1015608.3242185739
49,1023005.3516035815
50,1031780.2111980555
51,1019278.9012340286
52,998688.9027199798
53,998454.4344452607
54,980860.5319785395
55,988875.4126679642
56,992626.2297179751
57,1002045.7220282748
58,998089.2216139289
59,1008686.7039919276
60,1004515.4305637357
61,1006257.4268264702
62,1015909.6363486231
63,1022117.4345113223
64,1037028.112247114
65,1032206.8005938204
66,1045929.0532415034
67,1042087.8979548613
68,1049407.9673638844
69,1049645.2835462305
70,1043373.2378746546
71,1038058.6685876328
72,1035126.319660146
73,1038314.7263711316
74,1034794.9369144662
75,1038763.0837472748
76,1037451.087681873
77,1034089.4084932806
78,1035815.9180385489
79,1040651.7844475297
80,1033720.1242065094
81,1049971.187412
82,1054525.0655725668
83,1054730.491954712
84,1047660.7212243
85,1043782.37597193
86,1049612.4872834205
87,1045323.7754444032
88,1052292.6663696228
89,1069529.7282267406
90,1065320.7875393974
91,1055905.3285051973
92,1058053.3714517064
93,1055493.1862746102
94,1051075.6277779022
95,1044155.2261212829
96,1052053.5115830956
97,1052983.3001237637
98,1052290.597690653
99,1031674.4138353263
100,1034242.6194277459
101,1037852.5754480779
102,1032820.8633681452
103,1037694.6919066125
104,1050262.3458327148
105,1051470.5009378458
106,1051240.4012440033
107,1064480.20066847
108,1071021.980225801
109,1065866.955090579
110,1067246.6862222292
111,1067482.6348017678
112,1069429.0876460664
113,1079445.712354461
