,0
0,-473.8577206870541
1,8561.914237890858
2,-3510.4270610290114
3,-2279.9531306480058
4,3173.6036491259
5,3522.8182723566424
6,-1211.246086480096
7,321.68660115171224
8,-156.94150137645192
9,4373.033236075193
10,3743.394638705533
11,1370.6723945466802
12,9635.868569502374
13,-1735.9094106005505
14,3907.0353099857457
15,-1261.2586410033982
16,6049.596648181556
17,30.560622412711382
18,-4456.623139130417
19,129.69113006372936
20,3934.625815676758
21,-318.2223218216095
22,2698.062679998344
23,-2272.7889749302994
24,219.45219168439507
25,3959.6387080850545
26,-6379.640112038935
27,-385.97690049000084
28,2735.485082195606
29,3101.8926199676935
30,-9419.24576996523
31,16247.510928212665
32,-1982.4752181426156
33,6698.633825105615
34,9825.3591144674
35,-5213.352814524667
36,2448.3443266195245
37,3894.567233561771
38,17879.359626345104
39,-196.10042833839543
40,13028.572028486291
41,-3305.9752467677463
42,6417.397470371332
43,-5827.758709726855
44,-3430.9266771853436
45,3562.8808904183097
46,10147.123360508354
47,920.9251425997354
48,3609.0220630555414
49,6519.913793182233
50,-7936.582539102528
51,9589.812592325965
52,9783.94557349477
53,332.70838274317794
54,1361.3619991708547
55,4763.159671908943
56,-4445.99520221469
57,7353.766955235042
58,446.5136908686254
59,6.742753918282688
60,-5081.443592817523
61,1099.1298268097453
