,0
0,-6874.621045599692
1,3265.5982912217733
2,2252.9994740413968
3,410.9851388048846
4,-658.3064141562209
5,-4706.988588823937
6,-7970.248650808586
7,9550.752860941458
8,-10416.074677416822
9,-867.9269191860221
10,10166.872139295796
11,-547.1701932277065
12,10858.721869273111
13,14603.936446503503
14,-1415.3524952207226
15,-491.1956880115904
16,1973.7347059056628
17,352.4638822430279
18,-1217.0803030689713
19,-165.6659356127493
20,-568.1874787791166
21,1830.4380818398204
22,-1104.3880894095637
23,-304.0529023054987
24,0.0
25,0.0
26,-248.30410222522914
27,-167.63188859983347
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,523.2928512799554
34,184.03136761137284
35,-206.51636763312854
36,-184.0050763420295
37,-817.6347772444133
38,-1200.1442538816482
39,2046.7571865199134
40,1054.1021428718232
41,-800.2794084087946
42,-2166.5476863880176
43,1417.5007054468151
44,2536.816265462432
45,4835.673846707679
46,-2204.200018669013
47,5437.157646490028
48,3351.1281328778714
49,-3066.4222159297206
50,-3705.3391577985603
51,13034.338533697417
52,-3868.7955036913045
53,-5749.557005791692
54,-4587.67005316494
55,-3254.8670071742963
56,5471.010288934922
57,-5657.645649370039
58,9976.515981422504
59,-5756.734043009346
60,-286.50373590621166
61,12218.318491074257
