,0
0,1000000.0
1,1000607.1020245741
2,1001760.3437664186
3,1002119.4967087862
4,1002097.6359585088
5,997924.7721557843
6,998645.076409939
7,995576.9610212873
8,992667.8900957156
9,997266.6348168117
10,998721.0601190516
11,1005596.2295144484
12,1008652.3327982796
13,1008325.4744624521
14,1008069.8397808193
15,1010157.4818302102
16,1012482.7518223801
17,1005175.5976656461
18,1014240.69499171
19,1027046.1852382745
20,1030720.020659249
21,1035823.6450635495
22,1035593.6730915881
23,1036597.7183059452
24,1036156.4105230208
25,1036777.8105933574
26,1048795.4870294032
27,1054919.156065425
28,1049630.252256589
29,1062490.7246084346
30,1064404.2614049609
31,1067357.6402930599
32,1059055.178656773
33,1057050.0196941847
34,1059753.1990980925
35,1067711.5978701245
36,1064272.2404170579
37,1068514.9195473515
38,1055106.7766456085
39,1066422.557873496
40,1059478.6822556385
41,1044433.519920987
42,1049584.9512830488
43,1073547.2604210232
44,1072413.830101335
45,1061545.6908056752
46,1052931.0871731164
47,1068149.0164227816
48,1060885.6508509538
49,1069547.4603996542
50,1076775.3397478135
51,1062113.5889070595
52,1034034.9047342902
53,1036943.4075845174
54,1020797.9862208131
55,1028735.0791791222
56,1039576.3064565763
57,1051433.1122249982
58,1043551.9005913452
59,1047433.0526554142
60,1038783.2752514492
61,1044206.1841067643
62,1057150.889710929
63,1062111.4074755914
64,1072484.650483385
65,1073887.0891755486
66,1087761.1398880417
67,1075500.146528873
68,1090245.7514832418
69,1081174.8408696647
70,1083577.6065617483
71,1095825.9480872033
72,1089011.056602031
73,1091280.3902132977
74,1095356.719487491
75,1087900.9613883793
76,1085645.156756819
77,1081901.6590250332
78,1076594.0427825493
79,1080603.4179744243
80,1080267.5219939852
81,1093755.2612710875
82,1097569.3670115948
83,1094857.1235652904
84,1088087.7797461469
85,1085712.2952787918
86,1088582.0697630853
87,1085013.5854390159
88,1082183.6447530817
89,1090086.1601221382
90,1078562.0870817462
91,1064048.2754695378
92,1066080.8476916726
93,1065957.3416795598
94,1065570.0156217702
95,1054219.2896013681
96,1066561.2925283713
97,1071691.8645371718
98,1068408.7750725509
99,1049780.4130372806
100,1050220.6524342708
101,1058269.0828856584
102,1054007.1201388708
103,1055003.8164930881
104,1065754.739717126
105,1066497.1741921245
106,1065546.6690504286
107,1079593.9743912842
108,1091930.700032663
109,1100353.4892044123
110,1099040.00982159
111,1108367.856095624
112,1129501.1466532594
113,1137287.5574340534
114,1150465.3719274935
115,1153213.5526740486
116,1136460.8698702266
117,1138048.471832062
118,1141496.874606231
119,1136377.0413900462
120,1142849.706048928
121,1137782.5530104677
122,1127871.8071437755
123,1130858.76045605
124,1129447.1325380544
125,1115046.3435046906
126,1125656.268024831
127,1118570.6940079138
