,0
0,1057.5104364869185
1,-505.32136506715324
2,1437.4108228565892
3,-1285.19186591974
4,-1053.657825105358
5,3000.263809467084
6,-2417.6973260820378
7,-968.4863375965506
8,-810.0922916365089
9,-871.1863947442034
10,-2414.6654116937425
11,1734.20626396616
12,-935.8844004297862
13,6409.158058155444
14,5013.943042786792
15,94.39678647497203
16,1451.447002543835
17,-6530.956527468865
18,-3746.1191957684932
19,2508.180319282459
20,-2489.746584164677
21,6875.407204396208
22,-1231.3472407007357
23,2048.9318267203635
24,-323.85112174542155
25,5670.322640250437
26,5929.757265612599
27,5974.5297562208725
28,3264.662084317417
29,3964.7172828512266
30,2142.9873321182095
31,-1275.4958092349116
32,3910.3616381671745
33,5311.100373370573
34,1734.3328201256227
35,1885.2370162380394
36,-1728.095117236022
37,-3016.225360651035
38,7891.201095574303
39,-2389.452369478997
40,-1900.2628629039973
41,-1645.3963420016225
42,-1116.3092612782493
43,-2187.151286638342
44,2319.0467636135872
45,2090.3124458377715
46,-1370.5834085997194
47,-672.5413250690326
48,3323.1028733283747
49,-787.5087060760707
50,-38.625403811223805
51,-1532.79098164686
52,-5087.367609568872
53,138.92984453542158
54,-704.9352797786705
55,-1306.9380115931854
56,660.1636618333869
57,3646.2395140491426
58,-1674.2559098554775
59,238.69307809718885
60,-1586.844178401865
61,-803.3162652447354
