,0
0,-12438.999149977462
1,-162.86452689929865
2,11882.05444509047
3,-5988.277973312186
4,7160.504133572569
5,-5378.238320858218
6,6023.7492326095235
7,6434.230099536246
8,-1143.7795722032897
9,-3516.7800979057793
10,-710.5734415284824
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,782.2291330315638
29,-138.87030096747912
30,134.914638861781
31,1264.4971907485742
32,-2703.7861168272793
33,1205.4718163269572
34,-1595.5909052137285
35,-742.7500674235635
36,-7294.6383606353775
37,5810.560516943922
38,-5459.328675237717
39,4660.512783199316
40,5033.43866526871
41,-1021.0539674316533
42,8504.04916984355
43,1530.9452069466934
44,2464.88722978835
45,856.961904928321
46,-410.0164399603382
47,-4510.603733704193
48,-940.1144939172082
49,-2183.162853873335
50,-5980.809346303111
51,-10071.139394553844
52,32.45945277437568
53,-5357.041114285588
54,1818.7493700673804
55,-6930.927270221524
56,304.6495427181944
57,-4607.705811499618
58,5744.483573831618
59,1896.2721470380202
60,-838.9857427680399
61,0.0
