,0
0,1000000.0
1,1000042.0815566449
2,1001402.0364337616
3,1001779.6377451433
4,1001722.5698840598
5,995186.551039341
6,997585.8642702735
7,994193.6952955431
8,993189.6097913713
9,995422.2452727233
10,996637.9986738856
11,1000703.2907251241
12,998310.3099378782
13,999982.7783418812
14,1000084.2547851882
15,1003724.7492190648
16,1004809.7162189188
17,999294.5551121685
18,1004571.4481944595
19,1011921.4999794766
20,1011975.8576488697
21,1016523.6952047477
22,1018210.3512994389
23,1017018.003206464
24,1015516.0409821608
25,1013785.2336237954
26,1019237.1046125727
27,1021322.8807391458
28,1018776.0202839673
29,1028522.847505993
30,1030744.3587312069
31,1032635.9175384492
32,1026568.8757456733
33,1024925.7864108507
34,1027031.3737375553
35,1030558.6711276046
36,1026184.3405861502
37,1028063.314249162
38,1016592.1657629338
39,1025214.8371770438
40,1021697.2031423429
41,1004647.6189579553
42,1009366.7588930671
43,1026805.0940494185
44,1025472.4276531402
45,1015643.3405405962
46,1004583.3664741211
47,1018824.7345279796
48,1005663.3121483075
49,1012824.7431887711
50,1020919.2089826892
51,1007743.4828770083
52,985540.0053665424
53,986276.0334927564
54,972302.5168633207
55,978988.8646884763
56,983188.5570709698
57,990762.6643979156
58,985683.7516895129
59,992987.9302075922
60,987830.6001466385
61,990708.9387727955
62,1000222.8154710988
63,1005092.9894020141
64,1012454.5029939476
65,1009386.3468567011
66,1021448.4738210193
67,1019548.2960011319
68,1025285.9831412028
69,1023600.049373944
70,1019316.494133617
71,1017906.1205382197
72,1014119.1813186205
73,1016336.8354151398
74,1016042.6769420548
75,1015676.1544374627
76,1014168.4034519154
77,1011992.7894601745
78,1010535.166541013
79,1012236.7435162311
80,1007508.7383981587
81,1020244.0842434224
82,1022460.4580645472
83,1020445.1974839115
84,1013605.0400308099
85,1007913.7608113142
86,1012311.8167308768
87,1007726.922699921
88,1010111.8984489309
89,1017678.8530783542
90,1010197.5983185794
91,997574.1507223913
92,996945.548246402
93,992149.26578977
94,990480.1834691383
95,983307.8984635271
96,989162.6724599586
97,989106.3704427596
98,987985.6942595332
99,978335.437205662
100,979046.4630803536
101,980409.5537594317
102,979053.1588079215
103,980053.9386058864
104,983828.7099133537
105,984585.7467573388
106,984193.8641139112
107,989593.4344182047
108,996155.4370041967
109,999865.5083920306
110,999151.7810092487
111,1000700.2093217429
112,1004710.7526325588
113,1007486.1571043062
114,1013859.4613661721
115,1013377.5011326328
116,1003054.1794790572
117,999491.969303341
118,995506.429188641
119,991666.5528897934
120,993882.4092540706
121,985863.2615365932
122,978269.8669806554
123,981558.3137116265
124,976418.4855266992
125,968986.5116971842
126,971767.6625847267
127,962685.1240862666
128,952197.6863529263
129,954829.687896879
130,973495.1611350044
131,981358.5197752938
132,985906.8357380596
133,977119.3979502362
134,987996.1936250785
135,990129.4257755398
136,992314.9854820218
137,992660.2991475133
138,999564.1482569934
139,991100.2335598489
140,997704.8298943058
141,1003602.7728624752
142,1003150.8476547165
143,1010326.5935658091
144,1005762.2555987957
145,1000618.1182502342
146,1004792.2489162374
147,1005881.5781109931
148,1004765.146631679
149,1010249.6752167172
150,997906.34952422
151,1010038.323030729
152,1009980.7953559184
153,1006386.0774369574
154,1010073.7312564512
155,1011693.9028915312
156,1017387.4109730343
157,1019621.8063793095
158,1020780.1709629496
159,1012419.453330343
160,1022575.8519441205
161,1026748.9596008094
162,1027956.5644705531
163,1030229.9664645855
164,1034695.327465548
165,1036702.8783740335
166,1034321.7388808125
167,1027093.7376326112
168,1025777.614407284
169,1025340.2273130134
170,1036955.8986529195
171,1040640.1191652007
172,1039782.0956300446
173,1027290.076340138
174,1024652.0096062219
175,1026995.0630829962
176,1035648.6106240554
177,1034805.7051552715
178,1049696.0904935093
179,1050048.4445574125
180,1058071.8966425268
181,1066681.048895312
182,1071025.344080825
183,1076037.0692507164
184,1074176.6056795518
185,1073129.1391332168
186,1079786.170884393
187,1069974.1241017214
188,1069857.2836563122
189,1068343.7617896723
190,1070281.6555148938
191,1070072.4782084925
192,1067427.2403788993
193,1066372.2118011033
194,1055618.9321506189
195,1061037.4936307857
196,1072600.657846107
197,1067683.877560847
198,1071112.8613952042
199,1075898.4460928608
200,1076837.8383151258
201,1062894.441031183
202,1040378.8914417174
203,1045704.336820339
204,1042600.177226156
205,1034349.0017082018
206,1041527.0207100911
207,1036455.9691837181
208,1025739.5241329125
209,1029952.7339809694
210,1029102.1119337331
211,1036743.021879114
212,1041929.6102648331
213,1045165.7653683327
214,1049780.2062065867
215,1050497.831522477
216,1050989.7360602303
217,1053563.9908905446
218,1052744.489530704
219,1048667.628213718
220,1051871.1306050725
221,1049761.3723937187
222,1055548.9711843848
223,1054089.6569761652
224,1056270.430869032
225,1063322.5836376972
226,1067487.7261919784
227,1058776.409542632
228,1075835.951597387
229,1074312.9328633458
230,1078484.5631045161
231,1078835.389275193
232,1077420.549761488
233,1071316.6029592168
234,1070195.1037867467
235,1053490.1440866855
236,1050567.478304574
237,1060369.8453799128
238,1066851.4628636127
239,1059620.5580951667
240,1067542.920295039
241,1065219.2447181956
242,1063270.4190133095
243,1069017.2547338612
244,1060003.3523610653
245,1056103.3978113572
246,1060659.5112636362
247,1066488.5648941034
248,1075934.3754868312
249,1077219.5156709931
250,1077117.240727429
251,1064961.169710865
252,1049558.1596014574
253,1050733.5786451783
254,1061810.195276605
255,1042776.999300734
256,1035519.9457269432
257,1043827.0112845255
258,1047033.2306441178
259,1057229.353678543
260,1060187.5130558177
261,1061558.6144814075
262,1063981.150296347
263,1066679.7422037767
264,1068795.837839608
265,1061249.9007331834
266,1061969.9233080565
267,1070890.284653992
268,1076529.884862681
269,1069606.3054511384
270,1068356.1115009738
271,1073845.6702127275
272,1065890.1862349303
273,1071419.9004512166
274,1070715.4965880192
275,1072743.7102364833
276,1082138.192931315
277,1081098.687510285
278,1077896.7487845824
279,1061094.580998965
280,1064875.5502231258
281,1068580.895007344
282,1065313.3818680258
283,1073243.3238176184
284,1072928.760449593
285,1080452.446058326
286,1088560.5871921089
287,1089755.3525570827
288,1096221.7088830755
289,1095643.2452211047
290,1097837.6302393603
291,1099471.5200017025
292,1100271.2012955197
293,1107330.3610339044
294,1115699.945676486
295,1118853.5855349547
296,1120778.9945012017
297,1114298.5791052575
298,1105106.7633068608
299,1107915.5167918145
300,1111351.0460683613
301,1111311.411170628
302,1119200.4113284878
303,1119070.0720304206
304,1120190.2139984383
305,1122125.649650196
306,1111797.1226930385
307,1111926.0897722722
308,1109554.4193168203
309,1109292.1339386716
310,1109603.9733836122
311,1113649.635837361
312,1112461.4353542842
313,1120652.4295785816
314,1119072.2158575957
315,1111780.5537345659
316,1116402.8019496512
317,1111915.7467328832
318,1112591.8809438052
319,1117908.746911565
320,1114504.839275734
321,1119042.618304652
322,1106436.3415667475
323,1113416.6946596322
324,1114542.0955942248
325,1124161.064083573
326,1140983.3377757275
327,1140976.834745602
328,1137123.7037450292
329,1140616.9958637503
330,1134413.6834677323
331,1128460.2916416628
332,1100888.867798077
