,0
0,-1359.3250091015361
1,903.8414706999902
2,2936.8387902793474
3,-378.0059832141269
4,0.0
5,0.0
6,0.0
7,-125.4725761457812
8,-826.0069209465291
9,350.8201185069047
10,2102.614158538403
11,-822.9212571389508
12,-285.47993116173893
13,0.0
14,0.0
15,0.0
16,0.0
17,-1691.7671459098347
18,-142.0098196649924
19,-2189.18653212185
20,1996.220600207802
21,280.7782475564163
22,-208.44423551810905
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
