,0
0,4445.4192747215275
1,-10371.352927942527
2,4465.252256290289
3,-763.1782623953186
4,9329.67234765715
5,14573.13814389985
6,-1019.4866745085455
7,697.9328403142281
8,5613.629786328878
9,-8044.109225007473
10,133.32528212107718
11,-4950.951037450694
12,-5102.550220659701
13,-3187.9285467078444
14,3704.474629415665
15,6954.124721454224
16,-15258.051397704054
17,-4832.568862136453
18,5711.742544065695
19,-9277.802105322015
20,-7776.023668362526
21,53.177782634506
22,5707.267693042988
23,-7811.966863237089
24,14077.698791188188
25,-8399.710782320937
26,723.8222938859835
27,-10219.683136210078
28,10156.100612759357
29,-10876.34173723543
30,-997.3016803401988
31,-6676.431833658717
32,2622.730121248518
33,-1009.8712906790897
34,14848.738658987684
35,9682.735292648664
36,-1520.552546877414
37,2969.446069556754
38,-2024.356174548855
39,-1980.5656591688748
40,283.26778574613854
41,-860.1912556660827
42,9412.424446543679
43,4081.74181146943
44,4690.567211766494
45,-2361.621997863287
46,-8047.348741747439
47,-9430.79150857334
48,-6609.05646936805
49,-1950.4811281419825
50,2439.2106982322875
51,-1283.6740760081448
52,5604.91322903242
53,6747.824238801608
54,-5958.484858155251
55,14318.07479508454
56,-41961.09334360866
57,-20805.84824275633
58,19150.568596490426
59,20810.159215730382
60,13451.46632338548
61,1323.4973524913657
