,0
0,1000000.0
1,1000158.6980394371
2,1000841.2167741582
3,1001401.4501984566
4,1001463.9728017657
5,998047.6344769895
6,999568.4858510701
7,997709.772391395
8,995813.8848158423
9,995926.8929756745
10,995928.0244147421
11,999548.3731250823
12,996871.5846242227
13,999587.734653834
14,999238.2741059982
15,1002279.0869598561
16,1002343.2314499642
17,996287.489513355
18,1001303.7609577286
19,1007461.6617453883
20,1006192.9679293267
21,1009130.9953638201
22,1010082.7587123066
23,1009781.2734873099
24,1010020.8877862492
25,1009585.1659231852
26,1016126.8861388599
27,1018251.1990841384
28,1015030.1259338576
29,1020731.761504858
30,1018898.7319525408
31,1021441.686371246
32,1015906.4385177835
33,1014028.7291107764
34,1019040.4036251376
35,1021237.2116494211
36,1012664.657557153
37,1013655.3115846437
38,998434.8361084067
39,1006472.1417747859
40,1004366.4935276512
41,988602.4831525318
42,992239.2909900442
43,1005221.379659409
44,1008559.0758303469
45,999152.9871153006
46,990341.1111567091
47,1006000.0346201335
48,996030.2680285788
49,1003020.026420199
50,1011082.154029929
51,997783.1486010146
52,974768.7293170743
53,976012.3355149424
54,965113.7484279022
55,970659.8006164894
56,975603.517359106
57,979596.605561379
58,974484.4002952658
59,982148.6053110355
60,980694.332300572
61,982509.3016511751
62,992431.5795935929
63,996946.2356642061
64,1010992.9753278858
65,1008198.6828402737
66,1019788.188420804
67,1021215.5643267075
68,1024192.8218485222
69,1017520.7543333113
70,1024746.740801509
71,1026609.603982673
72,1034107.4639012935
73,1033264.8257397265
74,1035096.5038003303
75,1030559.7354747803
76,1041643.6889301186
77,1038845.3279499159
78,1037196.1640988803
79,1037547.9375700213
80,1030076.5408333978
81,1038399.4865322404
82,1043730.092187711
83,1042127.1307372983
84,1034369.7410475443
85,1035451.9736025946
86,1038469.0665388599
87,1043048.1674913575
88,1037419.3660313002
89,1044388.2826986553
90,1039731.1974308635
91,1023508.7605213419
92,1019236.8957058326
93,1013873.1048189551
94,1013460.4193677094
95,1013014.5294284463
96,1016505.9865706799
97,1031320.9840259299
98,1024418.9952253273
99,1013580.7420912449
100,1023524.5641394408
101,1019394.1641900251
102,1018370.9206510657
103,1021339.3808107292
104,1027738.007267887
105,1032422.9060272548
106,1033035.3544643029
107,1041005.5451150493
108,1056726.1339945574
109,1061746.7513786945
110,1052551.4561546007
111,1063709.1432286543
112,1065684.1975845234
113,1067413.9811114438
114,1085050.248432428
115,1082070.3679794576
116,1075440.1135515596
117,1070706.8615487064
118,1064825.9185896742
119,1064564.066875439
120,1066303.3217199002
121,1057676.4934623789
122,1045889.0564097223
