,0
0,4251.384815570898
1,-2062.0468487336766
2,19277.389655030333
3,7736.225547374692
4,7432.179206012748
5,-679.1372489193454
6,7335.760129135102
7,2716.16574178054
8,-608.7117515297141
9,1960.1147173310164
10,1462.541931888787
11,-6021.731775043067
12,1782.2941384583246
13,-6868.975266803289
14,7759.779938344378
15,3384.499657354085
16,-8646.148131469497
17,1534.0150882466696
18,-6484.2940130906645
19,-7276.26764742448
20,3403.905130612664
21,-1647.2567764141131
22,15014.29175089579
23,1483.8567884641234
24,-1155.0269118126016
25,-3752.240720746573
26,8405.409337623976
27,-1110.2246357609984
28,7612.99828110449
29,-1748.3516171819065
30,-588.7349093598314
31,1517.7203105262015
32,-2679.4016106138006
33,-53.02454386232421
34,-843.5259169526398
35,-5395.503592687892
36,-2037.782809469616
37,-3051.9540520785376
38,6444.106828196906
39,-7606.18948753248
40,-7081.885804706719
41,-525.5065440332983
42,6701.20036734757
43,9225.36103484244
44,2663.941469103098
45,2878.3086559269577
46,-30397.136438630754
47,11726.655383489095
48,-17743.385854149703
49,-1923.6193281481974
50,11110.29678549245
51,-6179.329029941931
52,-95.36195638612844
53,-465.7985080508515
54,17865.208746693796
55,5591.819325178629
56,-7864.319087039679
57,-6886.482906863792
58,6097.627009838587
59,20957.052611913998
60,-7430.781643827213
61,11627.407010253984
