,0
0,1097804.688040066
1,1096326.3691354077
2,1096348.2116479727
3,1096481.3791580587
4,1096375.3079805053
5,1096432.425912607
6,1096369.7882589647
7,1096531.9528226499
8,1096339.8293832666
9,1096021.257068798
10,1096325.8446290374
11,1096123.2544692464
12,1096030.9724751278
13,1095522.785970544
14,1095641.8292366609
15,1095137.2255997607
16,1094529.7607363658
17,1094389.8696177865
18,1094634.8827888877
19,1094487.4616915428
20,1094211.0725958862
21,1093929.2627375142
22,1094366.2211525247
23,1095175.9491484952
24,1094958.179371207
25,1095056.3065452364
26,1093633.9458790724
27,1093631.232554806
28,1093719.9499010574
29,1093842.9207684936
30,1093741.9910853337
31,1093089.130134884
32,1092808.0194434337
33,1093011.7351649397
34,1093324.2034507317
35,1093416.8861522013
36,1093341.9609902254
37,1093316.7195574543
38,1092340.1966812192
39,1092404.1083668668
40,1092620.4878960797
41,1092898.170897155
42,1092908.32803936
43,1090765.7273399453
44,1091068.6977976114
45,1091420.4156506457
46,1091334.047975282
47,1092144.7437864947
48,1092528.1214936902
49,1092720.2063453104
50,1092767.3849000349
51,1092866.081973708
52,1092789.7474611243
53,1092990.7608622788
54,1092982.9102307667
55,1092776.7478912459
56,1092797.18441211
57,1093033.098556289
58,1092839.4566296365
59,1092797.0345317991
60,1092697.6275465619
61,1092645.0722723994
62,1092870.032251213
