,0
0,1139139.0894753446
1,1131953.7105976667
2,1147512.3849518045
3,1147806.5742394878
4,1144271.3426367007
5,1155878.2824176508
6,1142423.5332905487
7,1138420.323334734
8,1134162.0588354457
9,1138285.936696838
10,1137432.1489597098
11,1143447.309517811
12,1146117.6774839666
13,1140918.9271479761
14,1137217.7077535968
15,1140561.091437691
16,1142418.9671765047
17,1156302.7613697983
18,1145039.2819091992
19,1150107.6164096491
20,1149033.1904065197
21,1147040.9710800753
22,1136169.48029763
23,1131145.004565276
24,1130067.2703201366
25,1154192.6110642583
26,1156252.2506773039
27,1187167.6567074885
28,1199308.638832581
29,1198640.8126558275
30,1203659.6961941822
31,1205313.8417110285
32,1197615.1920153024
33,1192564.276379085
34,1195593.66675036
35,1203726.5874972108
36,1214850.7199942146
37,1222409.6762824836
38,1223879.9114723264
39,1218537.7674929297
40,1219364.6528481052
41,1221661.0257696966
42,1229808.1023388053
43,1226989.7346077354
44,1224088.6174472964
45,1226991.919576692
46,1245027.5668208746
47,1249908.706775705
48,1256023.9873239778
49,1258470.204297179
50,1263697.5536384108
51,1248150.8244863462
52,1252303.0592276866
53,1251375.2884044205
54,1256567.3109470424
55,1262659.443372174
56,1263874.758512603
57,1264645.7872511642
58,1266154.1447738006
59,1266781.8427712435
60,1256339.038680174
61,1254777.9783626902
62,1251101.927328446
