,0
0,1000000.0
1,1000666.3830152843
2,1001654.8678240142
3,1001965.2455870924
4,1001364.2030462469
5,996506.3964570493
6,999633.2301976935
7,996146.5151740045
8,993972.1697455079
9,992812.3210894682
10,993227.6406927694
11,997504.8295908119
12,997488.7864826012
13,999652.4496903769
14,999530.5374704865
15,1002927.4559089898
16,1003919.7445570135
17,998079.809534176
18,1003931.6731996596
19,1011079.584680859
20,1011504.5160749956
21,1016099.7405512218
22,1018176.7564869057
23,1016886.4057107137
24,1017741.7387846928
25,1016632.0502399481
26,1024271.2239287052
27,1027095.8294102265
28,1024505.2242607274
29,1035476.1648114986
30,1034436.6313237982
31,1038212.9159786575
32,1031634.5279537934
33,1028994.7119677445
34,1028429.5729429105
35,1034981.5511459593
36,1029011.4442865096
37,1031589.095749938
38,1019255.9144774893
39,1025634.8569745607
40,1019911.0724601794
41,1004142.2731572646
42,1009475.2558914365
43,1025271.1330491009
44,1023529.537007909
45,1015564.4880266789
46,1005770.3153133501
47,1020161.2278463875
48,1010292.6850732845
49,1016746.565058799
50,1025707.1935794972
51,1011835.814830125
52,987734.3494183152
53,987197.0653785641
54,974395.3709836206
55,981398.0256312046
56,987564.0010957242
57,995173.3249195921
58,989236.1915675292
59,996249.537469701
60,993878.5218070095
61,997020.2451239371
62,1006536.7005956376
63,1013112.5301177122
64,1022441.769771578
65,1020269.6314807474
66,1032078.6232540864
67,1030701.783341207
68,1036850.9116803894
69,1031538.1115531487
70,1035209.0956484526
71,1040970.1279217022
72,1037872.8806251934
73,1037793.7514786535
74,1039752.5195117119
75,1038345.4051007815
76,1040251.250395852
77,1037671.4039460997
78,1034666.371157501
79,1035336.7835507236
80,1034764.9296950822
81,1044782.1867910462
82,1050546.4571065507
83,1049177.595404514
84,1040630.1696745746
85,1035066.6603200096
86,1036279.8347983555
87,1034669.8806907169
88,1032154.9138577288
89,1040386.1793300059
90,1033853.7011459541
91,1018130.5258988566
92,1017682.8666054417
93,1014497.7985007559
94,1014533.2210653065
95,1008981.8940609697
96,1015197.2200515011
97,1021459.1552142052
98,1019643.437655589
99,1002356.1627699266
100,1005505.054563091
101,1008535.7610817492
102,1003958.8370029966
103,1008546.9346166365
104,1015095.6995322484
105,1018596.9349036772
106,1017066.2471099845
107,1027124.3523579369
108,1040814.710899565
109,1047054.0931297438
110,1045851.7074892261
111,1055504.8534044074
112,1064297.9459034589
113,1067160.112657314
114,1080747.711135513
115,1077385.6335467282
116,1063618.891593714
117,1062390.842985988
118,1059349.2160477082
119,1059523.5666619446
120,1062271.9340093392
121,1050651.0267618892
122,1040365.9172157317
123,1043804.0706511697
124,1043355.9077217029
125,1032880.0651376954
